init,targ,rollout_id,embedding,sampled_embedding
15,61,0,"[-1.580978512763977, 0.4930993914604187, 1.5676279067993164, 1.0310368537902832, -1.786322832107544, 1.7906123399734497, 1.2916110754013062, -1.8237829208374023, 1.5629785060882568, 0.21681398153305054, -1.8485443592071533, -2.0607833862304688, -2.5971856117248535, -2.130692720413208, 3.670863389968872, -4.313251495361328, -3.607344150543213, -0.6660028100013733, -2.621518611907959, 0.7498047351837158]","[-1.3111923933029175, 0.5236227512359619, 1.6006790399551392, 0.9614889621734619, -9.499350547790527, 1.7887523174285889, 1.3252791166305542, -2.1726133823394775, 1.4672865867614746, 2.336393117904663]"
15,61,1,"[-1.2187765836715698, -0.19119340181350708, 1.5644207000732422, -0.8993687629699707, -0.3598364293575287, 1.6920254230499268, 0.6164882183074951, -0.5530840158462524, -0.2960987389087677, 1.3299471139907837, -3.403536319732666, -2.14760422706604, -2.980175495147705, -4.079324722290039, 4.5538740158081055, -4.2556867599487305, -4.315260887145996, -2.554208755493164, -3.130760908126831, 0.39410901069641113]","[-1.2115355730056763, -0.2122126966714859, 1.4567055702209473, -0.8909509181976318, -4.120866775512695, 1.6998347043991089, 0.625686526298523, -0.5785960555076599, -0.3090463876724243, 1.4207494258880615]"
15,61,2,"[-1.9737646579742432, -0.5049300193786621, 1.5544434785842896, 1.1595431566238403, -2.651547431945801, 0.6095855236053467, 0.7414820790290833, -0.38904333114624023, -0.818070650100708, 0.4583956003189087, -1.6760995388031006, -3.0909647941589355, -2.9851951599121094, -2.6670491695404053, 1.828883409500122, -3.6280083656311035, -3.975375175476074, -3.1197566986083984, -2.923948049545288, 1.1169312000274658]","[-1.914596438407898, -0.48558351397514343, 1.5401960611343384, 1.1892439126968384, -4.853973388671875, 0.6261377334594727, 0.7392686605453491, -0.360907644033432, -1.0133522748947144, 3.5287070274353027]"
15,61,3,"[-1.5893875360488892, 0.2547184228897095, 1.6242225170135498, -0.0019316226243972778, -2.2592177391052246, 1.3831062316894531, 0.6674423813819885, -0.391603946685791, 2.4706428050994873, 0.765930712223053, -2.2005414962768555, -1.8651057481765747, -2.922699213027954, -3.0071990489959717, 2.623638868331909, -4.04155158996582, -3.757610321044922, -2.5365872383117676, -3.0053889751434326, 0.25554633140563965]","[-1.6726164817810059, 0.08271987736225128, 1.720842957496643, 0.0663243755698204, -2.821033477783203, 1.3825422525405884, 0.6714073419570923, -0.29968491196632385, 2.3876254558563232, 2.552722930908203]"
15,61,4,"[-1.678025245666504, 2.1783552169799805, 1.6663284301757812, 0.20079901814460754, -1.826369047164917, 0.9037306904792786, 0.7788668870925903, -2.325214385986328, 1.5564292669296265, 0.16673891246318817, -1.1007291078567505, -1.5261437892913818, -2.7734899520874023, -2.3229589462280273, 2.20334792137146, -3.95379900932312, -3.486553192138672, 0.016100525856018066, -2.8044729232788086, 1.8150551319122314]","[-1.136566162109375, 2.2232558727264404, 1.6050467491149902, 0.28201204538345337, 5.546933174133301, 0.9160144329071045, 0.8108752965927124, -1.2580599784851074, 1.535609245300293, -0.34361588954925537]"
15,61,5,"[-1.6294621229171753, 0.013921602629125118, 1.6328425407409668, -0.5898672938346863, -2.5764663219451904, 0.6333870887756348, 1.2565927505493164, -2.068157911300659, -0.6572911143302917, -1.215296745300293, -1.6652487516403198, -3.026134967803955, -2.6570005416870117, -4.523252964019775, 2.904320001602173, -3.9740371704101562, -4.1370415687561035, -0.7011857032775879, -3.7559399604797363, -0.9018491506576538]","[-1.7612048387527466, 0.10165224969387054, 1.550057291984558, -0.5934608578681946, 5.146096229553223, 0.640710711479187, 1.2518589496612549, -2.4046080112457275, -0.6491180658340454, -0.7590898275375366]"
15,61,6,"[-1.4304378032684326, -1.088600754737854, 1.607633113861084, 1.0850000381469727, -2.3687217235565186, 0.5576097965240479, 0.5936864614486694, -0.2690619230270386, 1.5693514347076416, 0.5217886567115784, -1.8821098804473877, -2.4586541652679443, -3.2542734146118164, -2.701192855834961, 1.3240268230438232, -3.5065178871154785, -3.71382737159729, -3.270549774169922, -2.4753384590148926, 0.5834925174713135]","[-1.4067262411117554, -1.0148067474365234, 1.6143860816955566, 1.0067545175552368, 3.1949303150177, 0.5579814314842224, 0.5981472730636597, -0.27432844042778015, 1.4497190713882446, -0.6688867211341858]"
15,61,7,"[-0.049236610531806946, 1.508579134941101, 1.2667156457901, -0.9364668726921082, -1.9364159107208252, 1.0284043550491333, 0.5129243731498718, -0.7949687242507935, -1.818125605583191, -1.6625460386276245, -3.550137519836426, -3.477267265319824, -3.8947057723999023, -4.6847310066223145, -0.1006617546081543, -4.242000102996826, -3.2736778259277344, -1.9759767055511475, -2.6306591033935547, -2.122222423553467]","[-0.03378497064113617, 1.482803225517273, 1.2415165901184082, -0.9406810998916626, -1.454119086265564, 1.0398051738739014, 0.5173574686050415, -0.5779528021812439, -1.743215799331665, -1.802274227142334]"
15,61,8,"[-0.9086081385612488, 0.8301053047180176, 1.3328980207443237, 0.11400538682937622, -1.385345458984375, 0.6158952713012695, 0.18397775292396545, -0.2689235806465149, 0.4463624656200409, 1.6627120971679688, -3.3571906089782715, -2.122589349746704, -3.475968360900879, -3.8072876930236816, 0.9093523025512695, -3.587071180343628, -3.984179973602295, -3.2063651084899902, -2.8672404289245605, -0.6371104717254639]","[-0.9473657011985779, 0.895205557346344, 1.2934784889221191, 0.1253730058670044, 0.23179841041564941, 0.5907878875732422, 0.18848560750484467, -0.29996517300605774, 0.41882750391960144, 1.5625020265579224]"
15,61,9,"[-1.5056790113449097, -0.9931308627128601, 1.5525529384613037, -0.517333447933197, -2.165700674057007, 0.8648260235786438, 0.5539513230323792, -0.6682400703430176, 0.49361082911491394, 1.326667308807373, -2.8912856578826904, -2.5953681468963623, -3.0735793113708496, -4.158778667449951, 2.5972917079925537, -3.9566707611083984, -3.83925199508667, -2.7703542709350586, -3.256159543991089, 0.744560718536377]","[-1.621941328048706, -0.8733332753181458, 1.5646761655807495, -0.5096206068992615, -3.8624653816223145, 0.8777505159378052, 0.5347274541854858, -0.7860658764839172, 0.4867984354496002, 3.5923397541046143]"
15,61,10,"[-2.3383030891418457, 0.41818392276763916, 2.0149216651916504, 0.22233666479587555, -0.8669896721839905, 1.2489579916000366, 0.4699370563030243, -0.8960564136505127, 1.1025254726409912, 0.5587942004203796, -0.9950639605522156, -2.1786582469940186, -2.6663098335266113, -3.733177423477173, 4.205682754516602, -4.4697265625, -4.5838751792907715, -1.7372968196868896, -4.472908973693848, 0.5918846130371094]","[-2.6551575660705566, 0.10970503091812134, 1.9734643697738647, 0.22987566888332367, -3.6826982498168945, 1.2530312538146973, 0.47855350375175476, -0.9912195205688477, 1.094396948814392, 0.794660210609436]"
15,61,11,"[-1.7227585315704346, 0.45468276739120483, 1.7564661502838135, -0.5182376503944397, -2.0953686237335205, 1.1939921379089355, 1.0677862167358398, -1.8886662721633911, 1.1945322751998901, 1.4520902633666992, -2.4932868480682373, -2.344900369644165, -2.777909755706787, -4.094747543334961, 4.065690040588379, -4.423771858215332, -3.8849411010742188, -1.170790433883667, -3.852797269821167, 1.260802984237671]","[-1.6648187637329102, 0.6594090461730957, 1.7922850847244263, -0.5208885073661804, -7.2147979736328125, 1.1993341445922852, 1.068190574645996, -1.9338866472244263, 1.2296062707901, -6.635528564453125]"
15,61,12,"[-1.7024835348129272, -0.8776732683181763, 1.8154082298278809, -0.0012394115328788757, -0.926705539226532, 1.2693904638290405, 0.9703994989395142, -0.36342188715934753, 2.577389717102051, 0.5275497436523438, -1.4276944398880005, -1.9658737182617188, -2.647265911102295, -3.262888193130493, 4.329516410827637, -3.880551815032959, -3.464029312133789, -2.5302586555480957, -4.045316696166992, 0.1300966739654541]","[-1.5603063106536865, -0.8723471164703369, 1.7595977783203125, -0.02103576809167862, 1.1963443756103516, 1.2448430061340332, 0.985554575920105, -0.5169222354888916, 2.5837059020996094, -0.9362205266952515]"
15,61,13,"[-1.2365623712539673, 2.1217715740203857, 1.4692966938018799, -0.5511140823364258, -0.6942616701126099, 1.2934609651565552, 0.8474357724189758, -1.1626042127609253, 1.870242953300476, -1.9859286546707153, -1.6752710342407227, -1.388226866722107, -3.138425588607788, -3.238140821456909, 2.7596185207366943, -3.870818614959717, -3.643374443054199, -1.641018271446228, -3.0723018646240234, -1.0166640281677246]","[-1.2563191652297974, 2.326240062713623, 1.3917288780212402, -0.555698812007904, -0.2782209515571594, 1.2773553133010864, 0.8205728530883789, -0.9633278250694275, 1.8329715728759766, -1.7796305418014526]"
15,61,14,"[-1.4939345121383667, -0.0033740662038326263, 1.4391605854034424, -0.5492321252822876, -2.3997745513916016, 0.6396093368530273, 1.5178776979446411, -0.22932852804660797, 2.1753342151641846, 0.5896178483963013, -1.7310980558395386, -2.830296039581299, -3.031757116317749, -3.6388206481933594, 1.4497711658477783, -3.411184787750244, -2.5891523361206055, -2.8306198120117188, -3.109457015991211, 0.5801327228546143]","[-1.2751460075378418, 0.0009127403609454632, 1.416680097579956, -0.5258142352104187, -3.0109667778015137, 0.6475064158439636, 1.5445568561553955, -0.18687167763710022, 2.212308883666992, 2.7098121643066406]"
15,61,15,"[-1.9294661283493042, 0.5092187523841858, 1.5909717082977295, -0.007427006959915161, -2.4593544006347656, 1.1975253820419312, 1.1956408023834229, -0.5104257464408875, 2.671407461166382, 0.5230896472930908, -1.2346874475479126, -2.3025362491607666, -2.7788918018341064, -3.313178062438965, 1.9995012283325195, -3.8493809700012207, -4.216489791870117, -2.5336735248565674, -3.608306646347046, 0.6927778720855713]","[-2.199833869934082, 0.38585272431373596, 1.5816044807434082, -0.02058330923318863, 6.713934898376465, 1.1861639022827148, 1.1871134042739868, -0.5297062397003174, 2.645116090774536, 2.4888386726379395]"
15,61,16,"[-1.2548362016677856, 1.2989336252212524, 1.5015196800231934, 0.7639909386634827, -0.9906325936317444, 1.1399487257003784, 1.520693063735962, -0.30565929412841797, -0.08083745837211609, 1.7669004201889038, -2.112365484237671, -2.3525209426879883, -3.8044118881225586, -3.184718608856201, 0.39554929733276367, -3.6789422035217285, -2.7314157485961914, -3.117643356323242, -3.3398635387420654, -1.0461961030960083]","[-1.3280537128448486, 1.4238673448562622, 1.5185449123382568, 0.7642506957054138, -0.8039151430130005, 1.116517424583435, 1.6280934810638428, -0.2842317223548889, -0.04718208685517311, 1.802478551864624]"
