init,targ,rollout_id,embedding,sampled_embedding
65,11,0,"[-0.8944565653800964, 1.7309101819992065, 1.3007968664169312, 0.2098577618598938, -1.5253655910491943, 1.737673282623291, 0.4473218619823456, -0.879496693611145, -0.4705866575241089, 2.172938823699951, -3.9018449783325195, -0.8361338376998901, -3.574138641357422, -3.1639933586120605, 0.8598453998565674, -3.97277569770813, -3.5671565532684326, -2.363809823989868, -1.8573522567749023, -0.8212147951126099]","[-0.8598400950431824, 1.8347803354263306, 1.3132392168045044, 0.18511050939559937, -3.991757392883301, 1.7350587844848633, 0.4823705554008484, -0.9433621764183044, -0.6760565638542175, 2.613457679748535]"
65,11,1,"[-0.2970903515815735, -0.542965292930603, 1.185708999633789, -0.9054099321365356, -1.9652676582336426, 1.4948408603668213, 1.1649353504180908, -0.6954569220542908, -0.4577445387840271, -1.2191108465194702, -3.998063087463379, -3.389378070831299, -3.6648387908935547, -4.120743274688721, 0.69748854637146, -3.959182024002075, -2.6799840927124023, -2.1123814582824707, -2.4378442764282227, -1.9614735841751099]","[-0.29309460520744324, -0.5490371584892273, 1.1313925981521606, -0.8973336219787598, -2.987697124481201, 1.5053455829620361, 1.2121307849884033, -0.7351421117782593, -0.4836338460445404, -1.2104992866516113]"
65,11,2,"[-2.127519369125366, 1.7579708099365234, 1.6135534048080444, 0.589945912361145, -2.23353910446167, 1.7627277374267578, -0.1107591912150383, -0.3378821313381195, 1.1899205446243286, 1.2936952114105225, -2.2255210876464844, -2.262303590774536, -3.5534019470214844, -2.2923121452331543, -0.08688950538635254, -4.6200785636901855, -4.600664138793945, -2.4830336570739746, -2.2490196228027344, -0.7100459337234497]","[-2.09336256980896, 1.8022791147232056, 1.6054816246032715, 0.6331489086151123, -2.557797908782959, 1.7688654661178589, -0.11194360256195068, -0.28469792008399963, 0.8064084053039551, 1.787705898284912]"
65,11,3,"[-1.9841911792755127, 1.7234143018722534, 1.275936245918274, -0.11811265349388123, -0.6332664489746094, 1.5625582933425903, 0.3838455379009247, -0.5111389756202698, 0.3620930314064026, 1.232762336730957, -2.3967556953430176, -2.609537363052368, -3.5183916091918945, -3.3697915077209473, 1.248957872390747, -3.8418326377868652, -3.7269017696380615, -2.4486002922058105, -2.420060634613037, -0.31980323791503906]","[-2.0525918006896973, 1.6417142152786255, 1.3291915655136108, -0.07061535120010376, -0.8983730673789978, 1.5618696212768555, 0.387934148311615, -0.41076579689979553, 0.21302878856658936, 2.2378478050231934]"
65,11,4,"[-1.8600833415985107, 2.033642292022705, 1.4223731756210327, -0.9135020971298218, -0.5478867292404175, 1.9230400323867798, 0.10165176540613174, -1.223995566368103, -0.3984990417957306, -1.2676475048065186, -3.2745261192321777, -2.1902272701263428, -3.5420360565185547, -4.308631896972656, 1.545192003250122, -4.605177879333496, -4.349335670471191, -1.6387323141098022, -3.080801486968994, -2.2603416442871094]","[-1.7984951734542847, 2.0567545890808105, 1.3939577341079712, -0.902352511882782, 4.130987644195557, 1.9294438362121582, 0.11515887826681137, -1.0200366973876953, -0.4142923355102539, -1.2763161659240723]"
65,11,5,"[-1.4973490238189697, 1.0687309503555298, 1.337104082107544, -1.2286123037338257, -0.004552483558654785, 1.4476698637008667, 0.2699771821498871, -0.06078851595520973, 0.8838797807693481, 1.5632398128509521, -3.8826866149902344, -1.8542885780334473, -3.4995627403259277, -3.814621925354004, 2.7190916538238525, -4.156254768371582, -4.013585090637207, -3.474668502807617, -3.0301403999328613, -0.4119337797164917]","[-1.5116941928863525, 1.3519208431243896, 1.301456332206726, -1.23591148853302, 7.718009948730469, 1.4537734985351562, 0.26462140679359436, -0.08179785311222076, 0.9007683992385864, 2.3078505992889404]"
65,11,6,"[-1.3955267667770386, 0.833034336566925, 1.4694052934646606, 0.37438684701919556, -0.21123534440994263, 2.0029776096343994, 0.1964733600616455, -0.6775962710380554, 1.8723498582839966, 1.196702003479004, -2.5101451873779297, -2.236903429031372, -3.5310630798339844, -3.6062848567962646, 1.772080659866333, -4.219448089599609, -4.082490921020508, -2.095968246459961, -3.0338058471679688, -0.6907874345779419]","[-1.3828734159469604, 0.9251484274864197, 1.4745254516601562, 0.3427361845970154, 8.497343063354492, 2.003159761428833, 0.19955873489379883, -0.6946428418159485, 1.8039098978042603, 0.8637508153915405]"
65,11,7,"[-0.3379520773887634, 0.22314052283763885, 1.2515735626220703, 0.021687928587198257, -1.5608725547790527, 0.7093796730041504, 0.7081243991851807, 0.03253381699323654, 0.7019475698471069, 1.0194953680038452, -3.376248836517334, -3.4341189861297607, -3.797309637069702, -3.063056230545044, 0.31696605682373047, -3.469597339630127, -2.9294967651367188, -3.455667018890381, -1.4518629312515259, 0.38318634033203125]","[-0.3195658028125763, 0.19622802734375, 1.2237967252731323, 0.0003573242574930191, -0.828574538230896, 0.7340619564056396, 0.7143787741661072, 0.0819501280784607, 0.9454390406608582, -0.6919739246368408]"
65,11,8,"[-0.14809481799602509, -0.32814842462539673, 1.1927435398101807, -1.2543764114379883, -0.77358478307724, 1.4121589660644531, 0.44947680830955505, -0.6954209208488464, 0.7888087630271912, -1.0387287139892578, -4.157409191131592, -3.293449878692627, -3.4464199542999268, -3.803919792175293, 2.0849215984344482, -3.9397506713867188, -3.7594175338745117, -2.475844144821167, -2.6001217365264893, -2.1553566455841064]","[-0.16550591588020325, -0.3079608380794525, 1.1521419286727905, -1.2429704666137695, 4.039360523223877, 1.394513487815857, 0.4551207721233368, -0.759868323802948, 0.7528427243232727, -1.060684323310852]"
65,11,9,"[-1.2520692348480225, 1.4865117073059082, 1.4208623170852661, 0.6280614137649536, -1.997758150100708, 1.8078802824020386, 0.34042322635650635, -1.1478813886642456, -0.6800732612609863, -0.9659069180488586, -2.9609322547912598, -2.5575170516967773, -3.77335524559021, -4.508294105529785, -0.19943034648895264, -4.321114540100098, -4.12337589263916, -2.087348461151123, -2.961900472640991, -2.8734261989593506]","[-1.3605097532272339, 1.6109306812286377, 1.4268838167190552, 0.6334992051124573, -2.1858720779418945, 1.8168574571609497, 0.3259539008140564, -1.381155252456665, -0.6892163753509521, -0.905103862285614]"
