init,targ,rollout_id,embedding,sampled_embedding
46,11,0,"[-2.2003836631774902, 2.198073625564575, 1.5848766565322876, -0.14253243803977966, -0.6952979564666748, 0.9076719284057617, 0.8259263634681702, -2.1391777992248535, 0.2684433162212372, 2.4167988300323486, -2.9268293380737305, -1.6034067869186401, -3.6402015686035156, -4.453115463256836, 1.0180516242980957, -4.135142803192139, -5.020585060119629, -1.1599302291870117, -3.5757598876953125, -1.2795690298080444]","[-2.1086082458496094, 2.24629807472229, 1.5965235233306885, -0.1493506133556366, -3.5844483375549316, 0.9054492712020874, 0.8341196179389954, -2.3520429134368896, 0.23159196972846985, 2.6953492164611816]"
46,11,1,"[-0.7890787720680237, 1.2097909450531006, 1.4270192384719849, 0.141688734292984, -2.0606918334960938, 0.46909183263778687, 0.5133591294288635, -2.5404276847839355, 2.384420871734619, 0.920196533203125, -2.51531982421875, -1.6805672645568848, -3.3720173835754395, -3.295374870300293, 0.3875560760498047, -3.5560059547424316, -3.812528610229492, -0.6156536340713501, -2.587346315383911, -0.05884718894958496]","[-0.7714774012565613, 1.1762596368789673, 1.3542242050170898, 0.16012468934059143, -2.8106400966644287, 0.48481285572052, 0.5285660624504089, -2.717703342437744, 2.362126588821411, 0.9779237508773804]"
46,11,2,"[-1.5353108644485474, 1.226732611656189, 1.4022002220153809, -0.1788509637117386, -2.2632246017456055, 0.36707738041877747, 1.3375533819198608, -2.467707872390747, 2.968592643737793, 0.9325587153434753, -2.2855358123779297, -1.8600159883499146, -3.3778843879699707, -3.4869160652160645, 0.28839290142059326, -3.587528705596924, -2.904466152191162, -0.6570384502410889, -3.8175413608551025, -0.07587862014770508]","[-1.5031436681747437, 1.2929842472076416, 1.3925797939300537, -0.16576805710792542, -2.735151767730713, 0.3843133747577667, 1.3310946226119995, -2.137488603591919, 2.8886866569519043, 1.8639918565750122]"
46,11,3,"[-1.3235771656036377, -0.8173989653587341, 1.3891496658325195, -1.597623348236084, 0.016108617186546326, 0.4798769950866699, 1.2825688123703003, -2.618161916732788, 1.19524347782135, 0.40900173783302307, -3.103623867034912, -2.4033234119415283, -3.53825306892395, -2.122529983520508, -1.6824305057525635, -3.6491506099700928, -2.7679953575134277, -0.9685015082359314, -1.6350114345550537, -2.2331790924072266]","[-1.3573113679885864, -0.9178096055984497, 1.4413577318191528, -1.4322948455810547, 0.0019723493605852127, 0.4790419638156891, 1.2932353019714355, -2.177184581756592, 0.8684179782867432, 0.5573335886001587]"
46,11,4,"[-1.707396388053894, 1.3439874649047852, 1.5182616710662842, -0.8995425701141357, -2.090319871902466, 0.5443647503852844, 1.67051362991333, -2.367948055267334, 0.5236836075782776, 1.812421202659607, -2.359984874725342, -2.4135262966156006, -3.934523105621338, -3.780677318572998, -0.5891103744506836, -3.7559309005737305, -2.61897611618042, -1.156195044517517, -2.6714086532592773, -1.3396775722503662]","[-1.5536949634552002, 1.3624744415283203, 1.4990705251693726, -0.8806388974189758, -1.53668212890625, 0.5593361854553223, 1.7467299699783325, -2.0374979972839355, 0.4999004304409027, 1.7906546592712402]"
46,11,5,"[-1.162052035331726, 1.7078930139541626, 1.556838035583496, -1.4904026985168457, 0.17537640035152435, 0.6280986070632935, 0.6028818488121033, -3.0126004219055176, -0.0966734066605568, 1.589863657951355, -2.6338772773742676, -2.4214231967926025, -3.8262906074523926, -3.118549346923828, -2.036208152770996, -3.7615203857421875, -3.8656320571899414, -0.4542372226715088, -2.3252110481262207, -1.141457200050354]","[-1.2120620012283325, 1.8685036897659302, 1.5311260223388672, -1.5050439834594727, 0.31179025769233704, 0.6371563673019409, 0.5966720581054688, -3.4432945251464844, -0.06249581649899483, 1.9488693475723267]"
46,11,6,"[-1.1731921434402466, 1.0228756666183472, 1.4562596082687378, 0.06762591004371643, -0.8750832676887512, 0.6147639751434326, 0.47037920355796814, -2.2617995738983154, 1.3321802616119385, 1.10382878780365, -2.1585421562194824, -2.0458030700683594, -3.223501682281494, -3.122129440307617, 1.6645054817199707, -3.548435926437378, -3.769321918487549, -0.9190649390220642, -2.632840156555176, 0.024875164031982422]","[-1.1552072763442993, 1.1343872547149658, 1.4632235765457153, 0.016263097524642944, 6.945298671722412, 0.6151203513145447, 0.4745992422103882, -2.3171041011810303, 1.2299811840057373, 0.42276322841644287]"
46,11,7,"[-1.2134908437728882, 2.0622074604034424, 1.545835018157959, -1.7538783550262451, -2.3053061962127686, 0.959936797618866, 0.003319002687931061, -3.289827585220337, -0.8798040747642517, -1.1842501163482666, -3.3920035362243652, -1.5686237812042236, -3.7024693489074707, -3.9224324226379395, -0.26418280601501465, -4.660595893859863, -4.47693395614624, 0.19688475131988525, -3.1422271728515625, -2.3836565017700195]","[-1.1953920125961304, 1.8883761167526245, 1.5152949094772339, -1.76291024684906, -1.8957644701004028, 0.9674381613731384, 0.004649884067475796, -1.3836939334869385, -0.8348914980888367, -1.2918332815170288]"
46,11,8,"[-0.5552580952644348, 1.6234440803527832, 1.6795378923416138, -1.2319238185882568, -1.4357895851135254, 0.9062213897705078, 1.0700894594192505, -2.131477117538452, -1.1706513166427612, 0.9072383046150208, -3.672492027282715, -2.329857587814331, -3.7718989849090576, -4.863030433654785, 1.056318998336792, -4.759922981262207, -3.448291778564453, -0.6933802366256714, -3.7108333110809326, -0.08728694915771484]","[-0.5835344195365906, 1.6763577461242676, 1.6502161026000977, -1.227968692779541, 0.4373730421066284, 0.8984510898590088, 1.0777932405471802, -2.5145835876464844, -1.1824958324432373, 0.7335795164108276]"
46,11,9,"[-0.3242919445037842, -1.8070662021636963, 1.2443766593933105, -1.0492329597473145, -2.7880070209503174, 0.3875063359737396, 0.5723305940628052, -1.254207968711853, 1.839297890663147, 1.1749008893966675, -3.8960647583007812, -2.496047258377075, -3.631589889526367, -3.908738136291504, -0.17555034160614014, -3.4380457401275635, -3.1591572761535645, -2.203320026397705, -2.256868362426758, -0.21181273460388184]","[-0.36685851216316223, -1.6747592687606812, 1.2513153553009033, -1.0393290519714355, -2.9806673526763916, 0.40921586751937866, 0.5343813896179199, -1.461938500404358, 1.8207930326461792, 2.045562505722046]"
