init,targ,rollout_id,embedding,sampled_embedding
65,16,0,"[-0.34609898924827576, 1.2129861116409302, 1.2879133224487305, 0.7101731896400452, -0.9490720629692078, 0.89537113904953, 0.7019405364990234, -0.1906445026397705, 1.2097785472869873, -0.7074931263923645, -3.0549731254577637, -2.3539881706237793, -3.7480764389038086, -3.13981294631958, -0.5932008624076843, -3.5703020095825195, -3.175304412841797, -3.2183618545532227, -1.9084422588348389, -2.5544991493225098]","[-0.2653616666793823, 1.2357525825500488, 1.2983691692352295, 0.6848202347755432, -1.5258545875549316, 0.8914610743522644, 0.7538027763366699, -0.21781757473945618, 1.0145424604415894, -0.6296520829200745]"
65,16,1,"[-2.3132617473602295, 2.4395880699157715, 1.607243299484253, 0.4915942847728729, -2.121746063232422, 1.8051031827926636, -0.18680977821350098, -0.2552533745765686, -1.50121009349823, 1.6392711400985718, -2.797353744506836, -2.0048182010650635, -3.5890743732452393, -4.750504016876221, -0.06256115436553955, -4.623342514038086, -4.7881059646606445, -2.8255491256713867, -4.361451625823975, -0.9252691268920898]","[-2.299985885620117, 2.4153425693511963, 1.5486516952514648, 0.49589669704437256, -2.5998783111572266, 1.8105100393295288, -0.18107713758945465, -0.27470266819000244, -1.5049920082092285, 1.6635427474975586]"
65,16,2,"[-2.480631113052368, 2.2128162384033203, 1.5032060146331787, -1.5158355236053467, -0.5470194816589355, 1.958775281906128, -0.14366085827350616, -0.760998010635376, 0.8123936653137207, -1.2957860231399536, -2.8065273761749268, -2.7525134086608887, -3.344768524169922, -5.07359504699707, 1.9945385456085205, -4.79271125793457, -4.919096946716309, -1.9904470443725586, -4.142045021057129, -2.3902359008789062]","[-2.4615259170532227, 2.239954948425293, 1.493261694908142, -1.5131586790084839, -3.1462483406066895, 1.9639397859573364, -0.1445222645998001, -0.6739597320556641, 0.7546308040618896, -1.2037327289581299]"
65,16,3,"[-1.718213438987732, 1.511270523071289, 1.3046252727508545, -1.420987844467163, -1.4168262481689453, 1.3830794095993042, 0.5573031902313232, -0.5951337218284607, -1.244799256324768, -1.4632282257080078, -3.1534080505371094, -1.7154563665390015, -3.6581032276153564, -3.4145560264587402, 0.8238847255706787, -3.9299542903900146, -3.7230851650238037, -2.8346567153930664, -2.149660348892212, -2.3172056674957275]","[-1.7503093481063843, 1.311506748199463, 1.3509365320205688, -1.3755698204040527, -1.590132236480713, 1.3824487924575806, 0.5614074468612671, -0.5269068479537964, -1.4401463270187378, -1.3268508911132812]"
65,16,4,"[-0.3688828647136688, 0.9588934779167175, 1.3313400745391846, -0.46151262521743774, -1.6527223587036133, 1.721022367477417, 0.3376407027244568, -0.40693241357803345, 0.7725421786308289, -0.773918628692627, -3.4091362953186035, -1.9111535549163818, -3.6315841674804688, -3.7569050788879395, 0.19406700134277344, -4.021221160888672, -3.8755016326904297, -2.671189308166504, -2.3431384563446045, -2.9208521842956543]","[-0.31505128741264343, 0.9894458055496216, 1.3053585290908813, -0.4421541690826416, -0.4411334991455078, 1.732505202293396, 0.3593350350856781, -0.3342963755130768, 0.7395176887512207, -0.778396725654602]"
65,16,5,"[-1.6154818534851074, 0.18586933612823486, 1.7885922193527222, 0.6410295963287354, -0.2500264048576355, 1.0895259380340576, 1.1020135879516602, -1.1314752101898193, -0.43040230870246887, 1.039399266242981, -1.9716131687164307, -2.1407809257507324, -2.6775920391082764, -3.4782445430755615, 5.6330766677856445, -4.152867317199707, -4.374594688415527, -1.9684478044509888, -4.397250175476074, 1.05875825881958]","[-1.7124600410461426, 0.3985145688056946, 1.7074942588806152, 0.6308116316795349, 7.472536087036133, 1.095650315284729, 1.0982807874679565, -1.2262201309204102, -0.42609837651252747, 4.2801289558410645]"
65,16,6,"[0.028965815901756287, -1.0511435270309448, 1.2066868543624878, 1.5553492307662964, -0.8064382672309875, 1.6085877418518066, 0.5929051041603088, -1.0671664476394653, 0.9210968613624573, -0.294636607170105, -3.390702247619629, -3.01716685295105, -3.694891929626465, -2.205409526824951, 0.8431088924407959, -3.9228756427764893, -2.9724607467651367, -1.8369697332382202, -0.6181445121765137, -2.765636682510376]","[0.034211307764053345, -1.0089290142059326, 1.2110333442687988, 1.426887035369873, 2.633098602294922, 1.608832836151123, 0.6022675037384033, -1.0892525911331177, 0.15476316213607788, -0.3364470601081848]"
65,16,7,"[-1.1990457773208618, 1.3359124660491943, 1.481891393661499, 0.06256508082151413, -0.4153960347175598, 1.2923033237457275, 1.5012308359146118, -0.23950085043907166, 1.5502458810806274, 1.3878049850463867, -1.900723934173584, -2.028115749359131, -3.8436098098754883, -3.549830913543701, 0.8010096549987793, -3.69110107421875, -2.778658866882324, -3.087048053741455, -2.683865785598755, -1.6473591327667236]","[-1.1186366081237793, 1.2261197566986084, 1.455371379852295, 0.049455173313617706, 0.7728472352027893, 1.3120815753936768, 1.5085034370422363, -0.1680578887462616, 1.6212742328643799, 1.1631509065628052]"
65,16,8,"[-2.240356683731079, -0.7328992486000061, 1.6855177879333496, 0.5029546022415161, -1.6588022708892822, 1.6242663860321045, 0.6889398694038391, -0.7055050134658813, 1.6427851915359497, -1.5496842861175537, -1.2298359870910645, -2.7122082710266113, -2.9850521087646484, -2.502897262573242, 2.705235719680786, -4.07440185546875, -3.7912135124206543, -1.9413098096847534, -2.5560550689697266, -1.5989832878112793]","[-2.5656349658966064, -0.6967986226081848, 1.6211137771606445, 0.5448492765426636, 3.1541430950164795, 1.6088438034057617, 0.6944071650505066, -0.8154943585395813, 1.605198860168457, -1.587982177734375]"
65,16,9,"[-0.9683747887611389, 1.9512888193130493, 1.431631088256836, 0.8328998684883118, -1.5022392272949219, 1.794349193572998, 0.2553161680698395, -0.6994544267654419, 0.6542695760726929, -1.5293724536895752, -2.623081922531128, -2.1332952976226807, -3.610055446624756, -3.2841296195983887, 0.2003459930419922, -4.304391860961914, -4.044641494750977, -2.001317024230957, -2.542574405670166, -2.2276835441589355]","[-1.1204009056091309, 2.141450881958008, 1.4387208223342896, 0.8513954877853394, -1.7828096151351929, 1.8034777641296387, 0.2396615743637085, -0.9536858201026917, 0.6403634548187256, -1.4133965969085693]"
