init,targ,rollout_id,embedding,sampled_embedding
65,61,0,"[-2.3745501041412354, 1.6256159543991089, 1.984260082244873, 0.33029258251190186, 0.7723010778427124, 2.08549427986145, 1.1610275506973267, -0.7848271727561951, -1.4389289617538452, 0.7990362048149109, -0.7887422442436218, -2.935612678527832, -3.4005355834960938, -4.588531494140625, 4.569385528564453, -5.075346946716309, -3.725602388381958, -1.7834649085998535, -6.340669631958008, 0.8742287158966064]","[-1.5960012674331665, 1.6383421421051025, 1.9990612268447876, 0.324337899684906, -6.9407267570495605, 2.0846261978149414, 1.190940499305725, -0.898932695388794, -1.441249966621399, 3.199450969696045]"
65,61,1,"[-0.7428659796714783, -1.2371586561203003, 1.3075183629989624, 0.43374329805374146, -2.5714118480682373, 1.205564022064209, 0.5156895518302917, -0.2221662998199463, 1.0666985511779785, 1.968267560005188, -3.0209569931030273, -3.036350965499878, -3.6953020095825195, -3.437450647354126, -0.690136194229126, -3.5816495418548584, -3.1776771545410156, -3.187939167022705, -1.6403002738952637, -0.7967386245727539]","[-0.7322502136230469, -1.2458012104034424, 1.2548315525054932, 0.4497375190258026, -2.826679229736328, 1.2208870649337769, 0.5443811416625977, -0.2357032150030136, 1.009222149848938, 1.99586820602417]"
65,61,2,"[-1.5288859605789185, 1.8656460046768188, 1.3308449983596802, -0.19044704735279083, -2.2319369316101074, 1.6015348434448242, 0.6011745929718018, -1.2430025339126587, 1.2243412733078003, -1.2137584686279297, -2.4645638465881348, -1.327918291091919, -3.4163124561309814, -3.4613728523254395, 0.22060942649841309, -4.024803161621094, -3.854172706604004, -1.6852810382843018, -2.569190502166748, -2.155857563018799]","[-1.5019915103912354, 1.978439450263977, 1.3215872049331665, -0.1770256608724594, -2.6729352474212646, 1.6126657724380493, 0.5986759662628174, -1.1249046325683594, 0.9459018707275391, -1.0973918437957764]"
65,61,3,"[-1.5182132720947266, -1.5542365312576294, 1.5731933116912842, -0.3676838278770447, -1.700810432434082, 1.5755894184112549, 0.2311783730983734, -0.9374827146530151, 0.31791189312934875, -1.1175127029418945, -2.5955257415771484, -2.6676101684570312, -3.3141698837280273, -4.531343460083008, 2.444319009780884, -4.329751968383789, -4.419933319091797, -2.1819448471069336, -4.588647842407227, -1.7779085636138916]","[-1.5742838382720947, -1.6313271522521973, 1.6385146379470825, -0.352817177772522, -2.2626261711120605, 1.5751665830612183, 0.23322291672229767, -0.8064364194869995, 0.30086803436279297, -0.8836528062820435]"
65,61,4,"[-1.3812841176986694, 1.3088221549987793, 1.5892088413238525, -1.2167913913726807, -1.544466257095337, 1.653693675994873, 0.4295620620250702, -0.32014182209968567, -0.8980881571769714, 0.6431112885475159, -3.5437097549438477, -3.412945032119751, -3.798534631729126, -4.893091201782227, 0.8931150436401367, -5.047294616699219, -4.102530002593994, -2.7704262733459473, -4.01551628112793, -0.3294370174407959]","[-1.3342305421829224, 1.315627098083496, 1.567222237586975, -1.2105765342712402, 0.8930525779724121, 1.6578092575073242, 0.4468502402305603, -0.254367858171463, -0.9042901396751404, 0.5833346843719482]"
65,61,5,"[-1.879858136177063, -0.5085136890411377, 1.7036256790161133, -0.43909603357315063, -1.9984183311462402, 1.574061632156372, 0.9360541105270386, -0.9483739733695984, 2.280578374862671, -1.7895872592926025, -1.2205668687820435, -2.6100354194641113, -2.7356581687927246, -3.172351360321045, 2.901820421218872, -4.047686576843262, -3.6803982257843018, -1.8446823358535767, -4.1070556640625, -1.1200250387191772]","[-2.085376024246216, -0.3755108118057251, 1.6271026134490967, -0.45297038555145264, 5.724143981933594, 1.5808652639389038, 0.9285805821418762, -1.0556014776229858, 2.2863314151763916, -1.4228042364120483]"
65,61,6,"[-1.0038419961929321, -0.9964231252670288, 1.3989254236221313, -0.1209009438753128, -2.417032241821289, 1.7395683526992798, 0.36525049805641174, -1.2102129459381104, -0.5193217992782593, -0.10231682658195496, -2.900082588195801, -2.3843166828155518, -3.710224151611328, -4.237652778625488, -0.21339762210845947, -4.019850254058838, -4.016102313995361, -2.0862536430358887, -2.517327308654785, -3.346968173980713]","[-0.9952743649482727, -0.9169344902038574, 1.4032057523727417, -0.1377347856760025, -1.2212144136428833, 1.7397907972335815, 0.368547648191452, -1.2274259328842163, -0.6340349912643433, -0.12569528818130493]"
65,61,7,"[0.024701416492462158, -1.7437198162078857, 1.2172276973724365, -0.704436719417572, -2.1968984603881836, 1.4709224700927734, 0.3991299569606781, -0.8372442722320557, -1.3262813091278076, -1.4559868574142456, -4.130795001983643, -2.6173079013824463, -3.690910816192627, -4.623401641845703, 0.5809884071350098, -3.9569642543792725, -3.56827712059021, -2.268528461456299, -2.4309396743774414, -1.8033274412155151]","[0.033347077667713165, -1.8046300411224365, 1.1863325834274292, -0.708917498588562, -1.2433311939239502, 1.4860833883285522, 0.402431845664978, -0.6752730011940002, -1.2348119020462036, -1.648197889328003]"
65,61,8,"[-0.7329949140548706, 1.5372209548950195, 1.319753646850586, -0.8653910756111145, -0.4567168354988098, 1.7958331108093262, 0.2143040895462036, -1.106407642364502, -1.1749886274337769, -1.2254185676574707, -3.9354004859924316, -2.5201854705810547, -3.556513547897339, -4.114969253540039, 2.0556626319885254, -4.426395893096924, -3.989567279815674, -1.8849197626113892, -2.897725820541382, -2.4049816131591797]","[-0.7547340989112854, 1.5809639692306519, 1.2833846807479858, -0.8570342063903809, 4.356228351593018, 1.7849867343902588, 0.21878772974014282, -1.2227774858474731, -1.2016968727111816, -1.2425240278244019]"
65,61,9,"[-2.4627161026000977, 2.2074432373046875, 1.5367555618286133, -1.8523436784744263, -2.57668399810791, 2.3600380420684814, -0.027456559240818024, -0.6582834720611572, -1.0491766929626465, 1.7012885808944702, -3.4150314331054688, -1.8416810035705566, -3.7253284454345703, -3.7732605934143066, -0.17602002620697021, -4.9431915283203125, -4.538820743560791, -2.1981399059295654, -3.052183151245117, -0.8081098794937134]","[-2.5315780639648438, 2.461991548538208, 1.5430734157562256, -1.8410029411315918, -2.769253730773926, 2.3648571968078613, -0.037006981670856476, -0.8670928478240967, -1.0575305223464966, 2.1808903217315674]"
