init,targ,rollout_id,embedding,sampled_embedding
15,65,0,"[-1.6260254383087158, -0.4474678039550781, 1.7798395156860352, -0.45218443870544434, -0.9922283291816711, 1.2031546831130981, 0.8829447031021118, -2.0900156497955322, 1.8919392824172974, 1.1384869813919067, -0.9429872035980225, -2.6531176567077637, -2.352997303009033, -2.9756288528442383, 3.923403024673462, -3.7481179237365723, -3.6702980995178223, -0.23236310482025146, -3.8669321537017822, 0.9090325832366943]","[-0.9587607979774475, -0.4305873215198517, 1.82203209400177, -0.48206114768981934, -8.705256462097168, 1.1998815536499023, 0.9145585894584656, -2.6282131671905518, 1.8643970489501953, 3.6239161491394043]"
15,65,1,"[-0.9320028424263, -1.0250407457351685, 1.446107268333435, -1.458306074142456, -0.8341639041900635, 0.4269159436225891, 0.5973841547966003, -0.8169332146644592, 1.9315623044967651, -0.948979914188385, -3.2659568786621094, -2.900542736053467, -3.1178135871887207, -3.6227355003356934, 3.2665750980377197, -3.850966691970825, -4.2825727462768555, -2.9636406898498535, -3.2324163913726807, -1.8968620300292969]","[-0.923693835735321, -1.034940481185913, 1.3522427082061768, -1.4450169801712036, -4.595194339752197, 0.4386212229728699, 0.6068881154060364, -0.8338739275932312, 1.9198662042617798, -0.939793586730957]"
15,65,2,"[-1.806641697883606, 1.9458743333816528, 1.6115648746490479, -0.3361606001853943, -2.5697014331817627, 1.361083984375, -0.10164537280797958, -0.8774587512016296, 0.9876810312271118, 0.3720460534095764, -2.3937771320343018, -2.5572621822357178, -3.595139503479004, -4.013510704040527, -0.811553418636322, -4.379584312438965, -4.6719489097595215, -1.9772286415100098, -3.5680301189422607, -0.3350849151611328]","[-1.777774453163147, 1.9788646697998047, 1.6038230657577515, -0.32843366265296936, -2.7268006801605225, 1.368890404701233, -0.10274828970432281, -0.7892622947692871, 0.885129988193512, 1.090799331665039]"
15,65,3,"[-1.3560799360275269, 1.6909048557281494, 1.426041603088379, 0.1607525646686554, -1.1239666938781738, 1.2908287048339844, 0.13995257019996643, -0.2278829962015152, 2.35056209564209, 1.3717741966247559, -2.8571019172668457, -2.0426230430603027, -3.458355665206909, -3.1611502170562744, 0.7249252796173096, -3.858060836791992, -4.23252534866333, -3.009178638458252, -2.5310702323913574, -1.0450562238693237]","[-1.3992451429367065, 1.5468825101852417, 1.4825921058654785, 0.21926937997341156, -1.280943751335144, 1.2901511192321777, 0.1424185335636139, -0.17058208584785461, 2.2171599864959717, 1.8584386110305786]"
15,65,4,"[-1.115083932876587, 1.1406407356262207, 1.328315019607544, -0.2729531526565552, -1.6180293560028076, 0.20119215548038483, 0.9641282558441162, -0.10928086191415787, 1.9677616357803345, 0.5058454871177673, -2.5141003131866455, -3.0155797004699707, -3.391848087310791, -3.147780418395996, 0.6237537860870361, -3.216064453125, -3.238858699798584, -3.382875919342041, -2.407768487930298, -1.0763523578643799]","[-0.9833352565765381, 1.1507657766342163, 1.2952947616577148, -0.23735640943050385, 0.24391138553619385, 0.22687983512878418, 1.0051332712173462, -0.0736299604177475, 1.9368040561676025, 0.4775218069553375]"
15,65,5,"[-0.5944094061851501, 1.4698435068130493, 1.1682953834533691, 1.257604718208313, -1.893965721130371, 1.1132919788360596, 0.6585608124732971, -0.1262497454881668, -0.6854079961776733, 1.4603853225708008, -3.7121129035949707, -2.6999402046203613, -3.6936874389648438, -3.63909912109375, 0.323327898979187, -3.738816022872925, -3.1247904300689697, -3.155980110168457, -1.880823016166687, -1.313064455986023]","[-0.6114225387573242, 1.591410517692566, 1.1389374732971191, 1.2489049434661865, -0.44988322257995605, 1.1225577592849731, 0.6455345153808594, -0.1551443636417389, -0.6321068406105042, 1.7627794742584229]"
15,65,6,"[-1.2298636436462402, -1.4266712665557861, 1.578953742980957, 0.12798330187797546, -0.31844621896743774, 0.706966757774353, 0.5563660264015198, -0.0269472599029541, 2.3750061988830566, 1.2372018098831177, -2.1499195098876953, -2.3820927143096924, -3.124074935913086, -3.3708701133728027, 3.1432993412017822, -3.421637535095215, -3.6377692222595215, -3.4123497009277344, -2.9307479858398438, -0.2841949462890625]","[-1.2117230892181396, -1.3470056056976318, 1.5866457223892212, 0.08793149888515472, 10.619389533996582, 0.7073712944984436, 0.5611793994903564, -0.03151751682162285, 2.2991366386413574, 0.7372115850448608]"
15,65,7,"[-1.2599965333938599, 0.2479795515537262, 1.5485872030258179, -1.4662965536117554, -1.8190910816192627, 1.4047702550888062, 0.04373287409543991, -0.9681169390678406, -0.6171857118606567, -1.2860984802246094, -3.6033458709716797, -3.4105193614959717, -3.3590002059936523, -4.816694259643555, 1.5804557800292969, -4.595780372619629, -4.681191921234131, -2.1365747451782227, -3.9325082302093506, -2.0122885704040527]","[-1.2453455924987793, 0.22042438387870789, 1.505530834197998, -1.4699897766113281, 0.7715933322906494, 1.4127739667892456, 0.04481787607073784, -0.7832987308502197, -0.596808135509491, -1.442063570022583]"
15,65,8,"[-1.8275045156478882, 2.2663865089416504, 1.5631963014602661, -0.13934078812599182, -2.360597848892212, 1.4907475709915161, 0.053941331803798676, -0.27838292717933655, 1.7229387760162354, 1.6554759740829468, -2.3802664279937744, -1.7590667009353638, -3.5657668113708496, -3.3867552280426025, -0.7532967329025269, -4.399935722351074, -4.722784996032715, -2.503699541091919, -3.652855634689331, -1.0149731636047363]","[-1.930455207824707, 2.3600258827209473, 1.5271623134613037, -0.12203049659729004, -2.053929328918457, 1.4796103239059448, 0.056095097213983536, -0.3410598635673523, 1.7103872299194336, 1.5867995023727417]"
15,65,9,"[-1.9973340034484863, -0.6168380379676819, 1.8116788864135742, -0.5955066084861755, -2.311692476272583, 1.3044332265853882, 0.8236491084098816, -0.7581032514572144, 3.445197105407715, 0.3968881368637085, -0.9485952854156494, -2.5111303329467773, -2.651038646697998, -3.6863527297973633, 2.892245054244995, -4.027019500732422, -3.837841510772705, -2.0407609939575195, -5.627309799194336, 1.2271897792816162]","[-2.808553695678711, -0.4865117371082306, 1.830176830291748, -0.5831361413002014, -4.008457183837891, 1.3164798021316528, 0.8043980598449707, -1.0025019645690918, 3.444561004638672, 4.06802225112915]"
