init,targ,rollout_id,embedding,sampled_embedding
12,61,0,"[-0.8301247954368591, 0.5602007508277893, 1.296147108078003, 0.07483410835266113, -1.892319679260254, 0.4822775721549988, 0.3563346862792969, -0.15378747880458832, 1.2923355102539062, -0.2745591700077057, -3.020629405975342, -2.782076835632324, -3.493335485458374, -3.5648279190063477, 0.23389625549316406, -3.405831813812256, -3.815797805786133, -3.509387493133545, -2.3845434188842773, -1.379645586013794]","[-0.7465664744377136, 0.5750388503074646, 1.3096364736557007, 0.05825936794281006, -3.2112317085266113, 0.47766855359077454, 0.3836677372455597, -0.17409926652908325, 1.171054720878601, -0.022535622119903564]"
12,61,1,"[-0.8794063925743103, -1.183505654335022, 1.2611873149871826, -1.0226292610168457, -1.8811278343200684, 0.4951930046081543, 0.24681100249290466, -0.23681603372097015, -0.6216267943382263, -1.1604646444320679, -3.852372169494629, -4.559786796569824, -3.2224183082580566, -4.295597553253174, 1.6892163753509521, -3.848517417907715, -4.377127647399902, -3.3979544639587402, -2.76485013961792, -2.304476022720337]","[-0.8747839331626892, -1.1853893995285034, 1.1766453981399536, -1.0158485174179077, -4.637483596801758, 0.506926953792572, 0.25545749068260193, -0.2477886825799942, -0.6402950286865234, -1.1543536186218262]"
12,61,2,"[-2.0239858627319336, 0.3718739449977875, 1.6347678899765015, -1.1009790897369385, -2.6065900325775146, 0.7243323922157288, 0.6712217330932617, -0.422221839427948, -0.7808948159217834, 0.7256871461868286, -2.3929061889648438, -2.7962160110473633, -2.3098983764648438, -4.143964767456055, 2.0914089679718018, -3.8603196144104004, -4.958288192749023, -2.6383137702941895, -4.408787727355957, 0.42914724349975586]","[-1.9950934648513794, 0.39785221219062805, 1.6067771911621094, -1.094197154045105, -5.220053195953369, 0.7374533414840698, 0.6703934073448181, -0.37668684124946594, -0.8251336812973022, 2.2690982818603516]"
12,61,3,"[-1.3219965696334839, -0.8156324625015259, 1.3870398998260498, 0.6649094820022583, -2.000295400619507, 0.49305301904678345, 0.5525760650634766, -0.3449450433254242, -1.5917319059371948, -0.11337144672870636, -3.2903194427490234, -2.6486282348632812, -3.1013145446777344, -4.106259822845459, 2.4332993030548096, -3.769944190979004, -4.0356597900390625, -3.34576416015625, -2.7986998558044434, -2.599449872970581]","[-1.3499857187271118, -0.8942003846168518, 1.4678558111190796, 0.6876512765884399, -2.5621113777160645, 0.4923129975795746, 0.5555785894393921, -0.3040204644203186, -1.693809986114502, -0.010530754923820496]"
12,61,4,"[-1.4616775512695312, -0.6232229471206665, 1.6318188905715942, -0.1356271505355835, -1.1903746128082275, 0.5826837420463562, 0.775724470615387, -0.4238310158252716, 0.13779808580875397, -1.983884572982788, -1.5485215187072754, -2.5959970951080322, -2.8102498054504395, -3.590667724609375, 3.2340261936187744, -3.587200164794922, -3.4842147827148438, -2.7434892654418945, -3.362569570541382, -0.7383220195770264]","[-1.1156649589538574, -0.6078194379806519, 1.5727490186691284, -0.11276765167713165, 6.182927131652832, 0.6004069447517395, 0.8078078031539917, -0.3562612235546112, 0.1258828490972519, -2.023599624633789]"
12,61,5,"[-1.1381365060806274, 1.28561532497406, 1.4839483499526978, -0.8930855989456177, -1.899625539779663, 1.599853277206421, -0.24528071284294128, -0.3568961024284363, -1.706093430519104, 1.0432814359664917, -3.790125846862793, -2.0525834560394287, -3.747232437133789, -4.242137908935547, 0.38037610054016113, -4.672057151794434, -4.470156669616699, -2.7290267944335938, -3.2334723472595215, -0.0480647087097168]","[-1.1538728475570679, 1.5178673267364502, 1.4561210870742798, -0.8978456258773804, -0.3707655668258667, 1.6034972667694092, -0.24867334961891174, -0.4011794626712799, -1.692312240600586, 2.1146914958953857]"
12,61,6,"[-1.6500588655471802, 0.28236711025238037, 1.5978699922561646, -1.324023723602295, -0.18383851647377014, 1.618412971496582, 0.9212005138397217, -0.485551655292511, 0.6759034395217896, 0.4963643550872803, -2.7405471801757812, -2.3926773071289062, -2.6068732738494873, -4.147491455078125, 5.102068901062012, -4.151627540588379, -4.6809000968933105, -2.515709400177002, -3.8361756801605225, 1.3523991107940674]","[-1.6400094032287598, 0.3611939549446106, 1.6107720136642456, -1.3424458503723145, 10.753996849060059, 1.6186078786849976, 0.9228965044021606, -0.4967549741268158, 0.6452242136001587, -2.0724058151245117]"
12,61,7,"[-1.2492316961288452, 2.042332649230957, 1.4758018255233765, -0.08449774980545044, -1.232060432434082, 0.11848746240139008, 0.7999805808067322, -0.2676384747028351, 2.2974696159362793, -1.500190019607544, -1.909220576286316, -1.28034508228302, -3.099050521850586, -3.274749517440796, 1.9932000637054443, -3.2981793880462646, -3.5255680084228516, -3.007091522216797, -2.934786796569824, -1.9402239322662354]","[-1.169502854347229, 1.8104192018508911, 1.4199635982513428, -0.10175874829292297, 2.682356357574463, 0.1477849781513214, 0.8034265637397766, -0.19024860858917236, 2.3527355194091797, -1.6678096055984497]"
12,61,8,"[-0.8839410543441772, 0.18715359270572662, 1.357052206993103, 0.8665671348571777, -1.3794147968292236, 0.9726651310920715, 1.2393608093261719, -0.9015272855758667, 0.8259705901145935, -1.3199843168258667, -2.092627763748169, -2.7953109741210938, -2.7681031227111816, -3.4397525787353516, 3.7135555744171143, -4.029484272003174, -3.802522659301758, -1.9264841079711914, -4.1668243408203125, -1.1208752393722534]","[-1.0212026834487915, 0.2203754186630249, 1.2770442962646484, 0.882983922958374, 3.433530569076538, 0.9565340280532837, 1.2447665929794312, -1.0131593942642212, 0.8184633255004883, -1.3817596435546875]"
12,61,9,"[0.150464728474617, -0.6083781719207764, 1.4338587522506714, 0.8647146224975586, -0.06633174419403076, 0.6757262945175171, 0.7248591780662537, -0.3567076325416565, 1.5191433429718018, -0.19448129832744598, -2.3975300788879395, -3.449523687362671, -3.997396230697632, -3.239844799041748, -3.043889284133911, -3.4776039123535156, -3.1217048168182373, -3.0992116928100586, -1.6752243041992188, -3.315455198287964]","[-0.04002609848976135, -0.5573872327804565, 1.4386717081069946, 0.8840477466583252, -0.07727353274822235, 0.6965938210487366, 0.685461699962616, -0.44151225686073303, 1.4860384464263916, -0.1554012894630432]"
