init,targ,rollout_id,embedding,sampled_embedding
26,65,0,"[-1.2600444555282593, 0.7308945655822754, 1.2951974868774414, -1.0802173614501953, -2.702199697494507, 0.6095713376998901, 0.2737436592578888, -0.6867386698722839, 0.19332240521907806, 0.972585141658783, -3.8621888160705566, -2.618298053741455, -3.548529624938965, -3.911471366882324, 0.06081736087799072, -4.002768516540527, -4.057371616363525, -3.0449352264404297, -2.8696250915527344, -0.09659028053283691]","[-1.2240276336669922, 0.7483731508255005, 1.3079625368118286, -1.091936707496643, -3.8114986419677734, 0.6070340871810913, 0.2952108085155487, -0.7190576195716858, 0.11865626275539398, 1.8817967176437378]"
26,65,1,"[-0.41863197088241577, 1.2942570447921753, 1.326436161994934, -0.6916749477386475, -0.6591138243675232, 0.19288505613803864, 0.8379813432693481, -2.736804962158203, -0.1744925081729889, -0.7325533032417297, -2.7919368743896484, -3.3604559898376465, -3.129755973815918, -4.3304443359375, 1.6111607551574707, -3.3982932567596436, -3.6234347820281982, -0.1882188320159912, -3.174009323120117, -2.1850454807281494]","[-0.4052840769290924, 1.2880070209503174, 1.2336859703063965, -0.6851264834403992, -3.208503007888794, 0.21129171550273895, 0.8563537001609802, -3.008625030517578, -0.18689210712909698, -0.7256669998168945]"
26,65,2,"[-0.09783177077770233, -0.8423849940299988, 1.229933500289917, -0.03131382167339325, 0.1039293110370636, 0.24100475013256073, 0.6495766639709473, -1.0887584686279297, 0.87422114610672, 0.8130462169647217, -3.3643875122070312, -3.281965970993042, -3.4885811805725098, -2.9721412658691406, 2.6965386867523193, -3.303969621658325, -2.8352179527282715, -2.1846184730529785, -1.6028602123260498, 0.8420088291168213]","[-0.08689536899328232, -0.8264022469520569, 1.2213212251663208, -0.009422702714800835, -2.5095338821411133, 0.2638915181159973, 0.6426547765731812, -1.0170810222625732, 0.14240390062332153, 3.145350217819214]"
26,65,3,"[-0.8182145953178406, -1.0746136903762817, 1.2918367385864258, 0.26874518394470215, -1.84025239944458, 0.18944908678531647, 0.5000721216201782, -0.3654833137989044, 2.42252254486084, -0.707015872001648, -3.0274901390075684, -3.0527732372283936, -3.468193531036377, -3.2944955825805664, 0.15300774574279785, -3.2435994148254395, -3.281450033187866, -3.40027117729187, -2.071533679962158, -2.482247829437256]","[-0.8546174168586731, -1.1270614862442017, 1.3478336334228516, 0.3199569284915924, -1.9288568496704102, 0.18819645047187805, 0.5064552426338196, -0.3267296850681305, 2.211301803588867, -0.5913872718811035]"
26,65,4,"[-0.8207461833953857, -0.34382766485214233, 1.4852598905563354, -0.9105098843574524, -0.9154847264289856, 0.48022663593292236, 0.5560370087623596, -1.0200904607772827, 1.7345349788665771, 1.0956059694290161, -3.4007091522216797, -2.2019193172454834, -3.2728376388549805, -3.766063928604126, 2.4987103939056396, -3.642352342605591, -3.7509641647338867, -2.533879280090332, -3.053438663482666, -0.16302895545959473]","[-0.766459047794342, -0.32098397612571716, 1.4480664730072021, -0.8913279175758362, 6.457817077636719, 0.4969988465309143, 0.5806085467338562, -0.9367635846138, 1.7183035612106323, 1.0250065326690674]"
26,65,5,"[-0.5195978283882141, -0.0736081600189209, 1.5997025966644287, 0.9284914135932922, -0.40477514266967773, 0.19360379874706268, 1.0999886989593506, -2.7954905033111572, 0.8002848625183105, -1.3545668125152588, -1.9755553007125854, -2.379875898361206, -3.0467453002929688, -2.6296064853668213, 4.352193832397461, -3.7837185859680176, -2.7763326168060303, -0.03174126148223877, -3.253488302230835, -0.8103638887405396]","[-0.616194486618042, 0.09381598234176636, 1.543637990951538, 0.9046174883842468, 7.317787170410156, 0.20246270298957825, 1.0815320014953613, -3.4526286125183105, 0.8137930035591125, -0.8546550273895264]"
26,65,6,"[-1.626649022102356, 2.013373613357544, 1.5869269371032715, 0.7875803112983704, -2.6076486110687256, 0.6495595574378967, -0.032188884913921356, -0.5027577877044678, -0.0017609959468245506, -1.160796880722046, -2.6108713150024414, -3.2390263080596924, -3.506760835647583, -3.7961747646331787, -0.6208102703094482, -4.251546859741211, -4.807809352874756, -2.7386717796325684, -3.642683506011963, -3.0062294006347656]","[-1.6152080297470093, 2.0471885204315186, 1.5921730995178223, 0.7614036202430725, -1.8119878768920898, 0.6497359871864319, -0.03069503977894783, -0.5117220878601074, -0.03898965194821358, -1.193666696548462]"
26,65,7,"[-1.7866393327713013, -0.23916971683502197, 1.7623751163482666, -1.3580069541931152, 0.20463573932647705, 0.5968970656394958, 0.7906062602996826, -1.6112730503082275, 1.0861197710037231, 1.2345250844955444, -1.6830896139144897, -3.3617424964904785, -2.972642183303833, -4.483135223388672, 4.897487640380859, -4.060547828674316, -4.089998245239258, -1.3848981857299805, -5.3104143142700195, 1.3763418197631836]","[-1.6866800785064697, -0.2681022584438324, 1.6990128755569458, -1.3631623983383179, 4.145761013031006, 0.6105661392211914, 0.7925659418106079, -1.2193564176559448, 1.091257095336914, -3.3859968185424805]"
26,65,8,"[-2.2816812992095947, 0.13950154185295105, 1.7605481147766113, -1.3472295999526978, -0.21938800811767578, 0.5705883502960205, 1.4769717454910278, -2.8310320377349854, 0.09630748629570007, 0.9045446515083313, -2.23616361618042, -1.9537620544433594, -2.5622453689575195, -4.068177700042725, 5.604910850524902, -4.118823051452637, -3.5200672149658203, -0.13056933879852295, -3.5068790912628174, 0.8768465518951416]","[-2.40058970451355, 0.2165747880935669, 1.6622520685195923, -1.3384723663330078, 4.593557357788086, 0.5558359026908875, 1.4841419458389282, -3.5036139488220215, 0.08178326487541199, 0.44912201166152954]"
26,65,9,"[-2.1736865043640137, 2.603510618209839, 1.7932313680648804, 1.00123929977417, -1.0301167964935303, 0.40308305621147156, 0.8868004083633423, -2.886017322540283, 0.823905885219574, 0.3747801184654236, -0.8442692160606384, -2.586852788925171, -2.5582637786865234, -2.3406667709350586, 3.58793044090271, -3.775245189666748, -3.7353429794311523, 0.5288323163986206, -2.7209956645965576, 0.8900256156921387]","[-3.0741097927093506, 2.724332571029663, 1.8135275840759277, 1.048751950263977, -2.726881504058838, 0.4185785949230194, 0.8654714822769165, -6.077988624572754, 0.8122721314430237, 2.9952049255371094]"
26,65,10,"[-1.7027380466461182, 0.18413913249969482, 1.4696253538131714, -1.0183031558990479, -0.6806169152259827, 0.24671553075313568, 0.9127178192138672, -0.28501227498054504, 0.06813859939575195, -1.265527367591858, -2.721832752227783, -2.645315170288086, -3.044877290725708, -3.5870137214660645, 4.151342391967773, -3.7879278659820557, -3.8812036514282227, -3.383971691131592, -2.9946837425231934, -2.0945632457733154]","[-1.759093165397644, -0.00930650532245636, 1.44123375415802, -1.0095776319503784, -3.4963254928588867, 0.25477004051208496, 0.9301156401634216, -0.30334922671318054, 0.03249385207891464, -1.2494596242904663]"
26,65,11,"[-2.522804021835327, -0.4216557741165161, 1.7178306579589844, -1.659292221069336, -2.854390859603882, 1.0105607509613037, -0.47329142689704895, -0.29513317346572876, -0.561717689037323, 1.382480502128601, -1.985607624053955, -4.139678955078125, -2.829373836517334, -4.749782562255859, -0.1708587408065796, -3.440037727355957, -5.223706245422363, -2.230255126953125, -5.013215065002441, 1.243302583694458]","[-2.4265410900115967, -0.38763758540153503, 1.7518528699874878, -1.6606690883636475, -3.438413381576538, 1.0248476266860962, -0.4731854200363159, -0.3108084201812744, -0.5507270693778992, -6.56483268737793]"
26,65,12,"[-0.653131365776062, 1.1658986806869507, 1.2752197980880737, 0.3423146605491638, -2.2633702754974365, 0.4324032962322235, 0.5573709607124329, -2.6405844688415527, 2.169372320175171, 0.8787622451782227, -3.1429615020751953, -2.459840774536133, -3.583069086074829, -3.011796474456787, -0.17223644256591797, -3.5738072395324707, -3.4138927459716797, -0.5935207605361938, -2.1145339012145996, 0.2481672763824463]","[-0.6275514364242554, 1.1691486835479736, 1.2533270120620728, 0.316867858171463, -2.0215070247650146, 0.3990435004234314, 0.5733052492141724, -3.7052764892578125, 2.2129218578338623, -0.7684530019760132]"
26,65,13,"[-3.256819248199463, 0.6170377135276794, 2.110722541809082, -1.4669660329818726, -0.16434726119041443, 0.8159133195877075, 0.601116955280304, -2.6490089893341064, 1.796323299407959, 1.2807731628417969, 0.8514636754989624, -3.8274950981140137, -2.102719306945801, -5.538424491882324, 4.710132598876953, -4.0234832763671875, -6.416522979736328, 0.28733372688293457, -7.96268367767334, 1.9541127681732178]","[-3.5040273666381836, 0.6348724365234375, 1.8922065496444702, -1.4674255847930908, 0.251693457365036, 0.8020879626274109, 0.5994389653205872, -1.2783528566360474, 1.796043038368225, 5.305044174194336]"
26,65,14,"[-0.1775575429201126, -1.9778486490249634, 1.3370441198349, 1.154146432876587, -1.0558207035064697, 0.25334423780441284, 0.5642587542533875, -3.1558139324188232, -0.634066104888916, 0.38629621267318726, -2.6985645294189453, -2.6872518062591553, -3.8975932598114014, -3.2920241355895996, -2.588029384613037, -3.4253151416778564, -3.02394962310791, 0.012057185173034668, -1.5160911083221436, 0.044580936431884766]","[-0.09440814703702927, -1.9729026556015015, 1.3275866508483887, 1.1872717142105103, -1.0665998458862305, 0.26113051176071167, 0.581530749797821, -2.427184581756592, -0.4521401822566986, 1.6273438930511475]"
26,65,15,"[-1.2124284505844116, 1.423511028289795, 1.4321725368499756, 0.16026946902275085, -1.3254461288452148, 0.5521146655082703, 0.516807496547699, -2.070258617401123, 2.3144876956939697, 0.4106271266937256, -2.3233089447021484, -1.6097753047943115, -3.279437303543091, -3.280531883239746, 1.5498087406158447, -3.7000226974487305, -3.9095993041992188, -1.1178640127182007, -2.678986072540283, 0.08319640159606934]","[-1.3034559488296509, 1.1768742799758911, 1.4264941215515137, 0.14667657017707825, 4.525500297546387, 0.538922905921936, 0.5052170753479004, -2.149690628051758, 2.247897148132324, 1.4791656732559204]"
26,65,16,"[-1.8643771409988403, 1.0203191041946411, 1.490283727645874, 0.22546526789665222, -1.601698637008667, 0.39390987157821655, 0.547751247882843, -2.7972378730773926, 2.4184391498565674, 0.7053719758987427, -1.5402607917785645, -2.4569032192230225, -3.329766273498535, -3.425675868988037, 0.947662353515625, -3.5893425941467285, -3.8347411155700684, -0.2776801586151123, -3.2161104679107666, -0.7752147912979126]","[-1.9941179752349854, 1.1328694820404053, 1.517650842666626, 0.22566939890384674, -1.2773854732513428, 0.3682821989059448, 0.5833830237388611, -2.430501937866211, 2.4565281867980957, 0.7520237565040588]"
26,65,17,"[-1.8610512018203735, 0.3126370310783386, 1.693769931793213, 0.6657511591911316, -2.4736993312835693, 0.6038795113563538, 0.9827516078948975, -1.280342936515808, -0.6798593401908875, 1.8402899503707886, -2.2223281860351562, -2.5219006538391113, -3.154512405395508, -4.32066535949707, 2.3265841007232666, -3.984236240386963, -4.615121364593506, -2.1530349254608154, -3.474663496017456, -0.3973125219345093]","[-1.8575302362442017, 0.2717892527580261, 1.7284228801727295, 0.673114538192749, -12.380290985107422, 0.5872617363929749, 0.9738818407058716, -1.2375531196594238, -0.6653560996055603, 1.6005297899246216]"
26,65,18,"[-1.1077618598937988, 1.52192223072052, 1.4403507709503174, -1.2478313446044922, -1.9781749248504639, 0.8476181626319885, 0.020595528185367584, -2.224613904953003, 1.2035564184188843, 0.37743404507637024, -3.3969812393188477, -3.070350408554077, -3.5845625400543213, -4.288137435913086, 0.08688092231750488, -4.195805549621582, -4.268369197845459, -0.7446994781494141, -3.1533889770507812, 0.23549532890319824]","[-1.0765244960784912, 1.483814001083374, 1.4070991277694702, -1.2642446756362915, -1.5373353958129883, 0.8556442260742188, 0.041651785373687744, -2.213111400604248, 1.148228645324707, 0.6735390424728394]"
26,65,19,"[-0.9320273995399475, -1.4212878942489624, 1.3938319683074951, 0.8574812412261963, -1.149707555770874, 0.33482998609542847, 0.6112626791000366, -0.23645222187042236, 0.9295951724052429, 1.4744988679885864, -2.3693981170654297, -3.382082462310791, -3.9093375205993652, -3.263777017593384, -2.9588279724121094, -3.2972640991210938, -3.1061575412750244, -3.344352960586548, -1.8102201223373413, -0.6127879619598389]","[-1.0210005044937134, -1.3745930194854736, 1.387459635734558, 0.8425891995429993, -1.1097431182861328, 0.3646658658981323, 0.5913063287734985, -0.24689920246601105, 1.010507345199585, 1.1258256435394287]"
26,65,20,"[-0.9034515023231506, 0.6885347366333008, 1.262029767036438, -0.18487635254859924, -1.6706616878509521, 0.34494587779045105, 0.5834863185882568, -2.7735891342163086, 0.07101575285196304, 0.5163097381591797, -2.9731011390686035, -2.5164127349853516, -3.7281904220581055, -3.0850167274475098, -0.14343881607055664, -3.5137596130371094, -3.150402069091797, -0.5240671634674072, -1.3953092098236084, 0.03574943542480469]","[-0.9359950423240662, 0.6887980699539185, 1.2345190048217773, -0.18700918555259705, -3.6983728408813477, 0.33517858386039734, 0.5219346284866333, -3.192711114883423, 0.44248640537261963, 0.33581623435020447]"
