init,targ,rollout_id,embedding,sampled_embedding
26,61,0,"[-1.1679757833480835, 1.1050032377243042, 1.3823261260986328, 0.5117632150650024, -2.5474088191986084, 0.5546484589576721, 0.0430639311671257, -1.6213663816452026, -0.9912890195846558, -0.9705967307090759, -3.6373000144958496, -3.2925946712493896, -3.5752694606781006, -4.26759672164917, -0.013988256454467773, -4.155403137207031, -4.251472473144531, -1.8361175060272217, -3.0099706649780273, -2.4116568565368652]","[-1.1228761672973633, 1.1139088869094849, 1.394754409790039, 0.503555178642273, -3.576753616333008, 0.5524703860282898, 0.060743726789951324, -1.7296193838119507, -1.0561782121658325, -0.8808033466339111]"
26,61,1,"[-1.2633336782455444, 0.8909476399421692, 1.3647758960723877, -0.8171960711479187, -2.731426477432251, 0.7829275727272034, 0.21110311150550842, -0.10694874078035355, -0.7161790728569031, 2.340106964111328, -3.8998332023620605, -2.3062539100646973, -3.6122565269470215, -3.804884195327759, -0.07306444644927979, -3.8068740367889404, -3.8586764335632324, -3.342616081237793, -2.701178789138794, -0.9064133167266846]","[-1.258925437927246, 0.8730119466781616, 1.30752694606781, -0.8061199188232422, -3.2045629024505615, 0.7951604723930359, 0.22562424838542938, -0.11854571104049683, -0.7360746264457703, 2.364840507507324]"
26,61,2,"[-0.9775847792625427, -0.06602746248245239, 1.5437198877334595, -0.8375614881515503, -1.1875600814819336, 0.5712262988090515, 1.1131799221038818, -2.2915990352630615, -0.20253823697566986, 1.2815605401992798, -2.9310173988342285, -2.732996940612793, -3.729566812515259, -4.445260047912598, 1.1935808658599854, -3.8772354125976562, -3.73514461517334, -1.282353162765503, -3.0457358360290527, -0.41695916652679443]","[-0.9607159495353699, -0.03835384547710419, 1.5369518995285034, -0.8325438499450684, -2.354351043701172, 0.5841271281242371, 1.1103655099868774, -2.114901065826416, -0.375428169965744, 1.943811058998108]"
26,61,3,"[-1.3438574075698853, -0.06600730866193771, 1.5573655366897583, -1.1421773433685303, -1.38508939743042, 0.5737190842628479, 0.8615617156028748, -2.9097743034362793, 1.4454729557037354, -0.7851843237876892, -3.021472454071045, -1.8179298639297485, -3.0648632049560547, -3.7447309494018555, 3.1944353580474854, -4.2116923332214355, -3.70969295501709, -0.3537163734436035, -3.301568031311035, -1.6060017347335815]","[-1.3804799318313599, -0.24631446599960327, 1.6411817073822021, -1.1095309257507324, -1.946905255317688, 0.5732433199882507, 0.8657212853431702, -2.094292640686035, 1.3837368488311768, -0.5074599385261536]"
26,61,4,"[-1.5239911079406738, 1.2715070247650146, 1.5488710403442383, -1.133715271949768, -2.864239454269409, 0.9109720587730408, -0.2785972058773041, -1.1444200277328491, -1.262734055519104, 1.6815185546875, -3.385387897491455, -3.0600924491882324, -3.7494394779205322, -5.0629048347473145, -0.33134591579437256, -4.549180030822754, -4.751371383666992, -1.676608681678772, -3.885042905807495, -0.4936552047729492]","[-1.4688657522201538, 1.2811912298202515, 1.52577805519104, -1.12847101688385, -2.147813320159912, 0.9177447557449341, -0.2695615291595459, -0.9480419754981995, -1.2698004245758057, 1.6307947635650635]"
26,61,5,"[-1.153214693069458, 0.02168896794319153, 1.4717613458633423, -0.7389363050460815, -0.5771762728691101, 0.46282023191452026, 1.5858421325683594, -0.10080515593290329, -0.12827616930007935, 1.5041093826293945, -3.70253849029541, -2.507254123687744, -3.3714640140533447, -3.8204185962677, 3.0977461338043213, -3.760283946990967, -2.974738597869873, -3.6924057006835938, -3.157893180847168, -0.4178558588027954]","[-1.17039155960083, 0.16908928751945496, 1.431241750717163, -0.7461933493614197, 7.145386219024658, 0.4718891978263855, 1.5707069635391235, -0.11770374327898026, -0.11341297626495361, 2.24432373046875]"
26,61,6,"[-1.445411205291748, -0.7917259931564331, 1.4737797975540161, -1.1072903871536255, -1.8877735137939453, 0.6497257351875305, 0.5352245569229126, -0.20839518308639526, 0.9733659029006958, 1.5669538974761963, -3.202559471130371, -2.5948972702026367, -3.2371459007263184, -3.5924432277679443, 2.016691207885742, -3.725393772125244, -3.8688998222351074, -3.446481704711914, -2.9471893310546875, -0.07173705101013184]","[-1.4390798807144165, -0.7273311614990234, 1.480649471282959, -1.139382243156433, 9.05006217956543, 0.6500242948532104, 0.5390446186065674, -0.21281208097934723, 0.8987336158752441, 0.9486090540885925]"
26,61,7,"[-0.8255652189254761, -1.5493130683898926, 1.400252103805542, -0.6292765736579895, -2.0949900150299072, 0.3779661953449249, 1.09746515750885, -0.03302737697958946, -0.6656607389450073, 1.66100013256073, -3.722285747528076, -2.9243619441986084, -3.6600501537323, -4.306394577026367, 0.9339485168457031, -3.559649705886841, -3.1119322776794434, -3.732417583465576, -2.592984199523926, -0.22394108772277832]","[-0.8125571608543396, -1.5941193103790283, 1.3683886528015137, -0.6354287266731262, -0.7378021478652954, 0.4005228877067566, 1.102676510810852, 0.004442218691110611, -0.5878748297691345, 0.7283966541290283]"
26,61,8,"[-1.917127251625061, -1.3441096544265747, 1.5028315782546997, 1.2932249307632446, -1.6395564079284668, 0.28534451127052307, 0.47209563851356506, -0.23987041413784027, -0.985262393951416, 0.7572711110115051, -2.36395263671875, -2.8428423404693604, -3.0143308639526367, -4.1384172439575195, 2.5838959217071533, -3.471099853515625, -4.080605506896973, -3.3178915977478027, -3.6376430988311768, 1.5993502140045166]","[-2.021771192550659, -1.3124299049377441, 1.4402858018875122, 1.301388144493103, 3.173388957977295, 0.2571498453617096, 0.47618913650512695, -0.26763612031936646, -0.998006284236908, -0.18070977926254272]"
26,61,9,"[-1.55967378616333, -1.2525123357772827, 1.4373985528945923, 0.7688994407653809, -2.7977912425994873, 0.6352910399436951, 0.5252065658569336, -0.30314815044403076, -0.36634382605552673, 0.7292256951332092, -2.4297709465026855, -2.9094393253326416, -3.237605094909668, -3.265970468521118, 1.0299136638641357, -3.511169910430908, -3.524488925933838, -3.0837743282318115, -2.7003180980682373, 0.36109280586242676]","[-1.7441209554672241, -1.1650041341781616, 1.4476877450942993, 0.7877339720726013, -3.440950393676758, 0.6554697155952454, 0.4988710880279541, -0.3892720937728882, -0.3782206177711487, 2.2732675075531006]"
