init,targ,rollout_id,embedding,sampled_embedding
26,11,0,"[0.5297030210494995, 0.3489004969596863, 1.2537195682525635, -2.5304555892944336, -1.087402582168579, 0.3256109952926636, 0.2920008599758148, 1.1350255012512207, 0.4094645380973816, 0.23942281305789948, -2.28640079498291, -1.9454857110977173, -1.0499916076660156, 0.6534707546234131, -1.1239383220672607, -2.394791603088379, -3.52484130859375, -1.4832005500793457, -3.4422621726989746, -1.1002843379974365]","[0.38033485412597656, 0.32099679112434387, 1.3826721906661987, -1.489580512046814, -1.4740267992019653, 0.30789899826049805, 0.31493452191352844, 1.014298439025879, 0.4240260124206543, -0.0011350512504577637]"
26,11,1,"[2.4319677352905273, -0.948298990726471, 0.8499500155448914, -0.7645149827003479, -1.1173310279846191, 0.14349590241909027, -1.5477867126464844, -1.2109886407852173, -0.12858732044696808, -1.287814736366272, 1.9318201541900635, -0.2808518409729004, -3.9246408939361572, -1.4066040515899658, -0.7838635444641113, 0.7763693332672119, -0.8417801856994629, 0.39845752716064453, 0.5089521408081055, -0.6984379291534424]","[15.846965789794922, -0.17223477363586426, 0.8388897180557251, -0.8439887166023254, -0.7465912103652954, -4.7284088134765625, -1.3175818920135498, 0.6641815900802612, 1.217471957206726, -1.0259389877319336]"
26,11,2,"[-0.18134018778800964, -0.7283930778503418, 0.48412322998046875, -2.0511741638183594, -0.8225977420806885, -0.126381054520607, -0.2785811424255371, 1.0740041732788086, 1.327514410018921, 0.578797459602356, -2.3488855361938477, -0.8745531439781189, -3.022038459777832, -2.6309306621551514, -1.1261390447616577, -2.362301826477051, -3.6999032497406006, -1.6681709289550781, -2.860905885696411, -0.988099217414856]","[-0.16904009878635406, -1.1337952613830566, 0.5413101315498352, -2.0591070652008057, -0.24919021129608154, -0.030278317630290985, -0.26925748586654663, 1.1836740970611572, 1.388393521308899, 0.41611167788505554]"
26,11,3,"[-0.622189462184906, -0.6697502136230469, -0.5146825313568115, -0.22945618629455566, -0.7647953033447266, 0.40521830320358276, -0.2549070119857788, 0.9219492673873901, 0.7381975054740906, -2.327533483505249, -2.547454357147217, -1.9871413707733154, -3.5229761600494385, -3.8211240768432617, -2.633173942565918, -1.9727048873901367, -3.325709819793701, -2.904806613922119, -3.1489083766937256, -1.7267367839813232]","[-0.5749505758285522, -0.7461815476417542, -0.5384503602981567, -0.24019503593444824, -0.6440572142601013, 0.30223751068115234, -0.2890755534172058, 1.01931631565094, 0.6978375911712646, -2.192859411239624]"
26,11,4,"[3.020970106124878, 0.10209440439939499, 2.5282115936279297, -0.6448630094528198, -0.1478668749332428, -0.7234366536140442, -0.5433215498924255, 0.2404802292585373, -0.45425522327423096, -1.5433385372161865, 0.4743938446044922, -1.386258602142334, -8.395177841186523, -2.5656661987304688, -1.247429609298706, -1.5346342325210571, -3.306809425354004, -1.7867025136947632, -1.1929233074188232, -1.0942344665527344]","[6.565770149230957, 0.04458519071340561, 2.5282983779907227, -0.762225329875946, 0.012785926461219788, -0.5613659620285034, -0.4966742992401123, 0.32763853669166565, -0.48922085762023926, -1.6239464282989502]"
26,11,5,"[2.7185003757476807, 1.051042079925537, 0.23698873817920685, -0.11656652390956879, -0.13113299012184143, -0.391357421875, -0.6805307865142822, -2.375014305114746, -1.489668607711792, -1.659162998199463, 1.8356008529663086, 0.9896000623703003, -8.65223503112793, -3.476686954498291, -0.3148069381713867, 1.007272720336914, -2.4447734355926514, 1.8817322254180908, 1.1740100383758545, -0.4459521770477295]","[-0.5015027523040771, -4.316780090332031, 0.23676429688930511, -0.08898135274648666, -0.1473037302494049, 1.9614815711975098, -0.7030534148216248, -9.979742050170898, -1.9886608123779297, -1.5785107612609863]"
26,11,6,"[1.6309163570404053, -0.511434018611908, -0.06477698683738708, -1.0243234634399414, -0.1412505805492401, -0.1325458139181137, -1.4324544668197632, 0.4489485025405884, 0.42065149545669556, -0.6125189661979675, 1.4803719520568848, -1.3012946844100952, -3.736915349960327, -0.9494760036468506, -1.0576157569885254, -1.091931939125061, -1.6372417211532593, -2.448516845703125, -1.5307948589324951, -0.8697015047073364]","[10.684028625488281, -0.6249867677688599, -0.06110461801290512, -1.066359043121338, -0.7311885356903076, -0.0268719345331192, -1.484357476234436, 0.5632579326629639, 0.2666059136390686, -0.6098174452781677]"
26,11,7,"[-0.4462127685546875, -1.0882598161697388, -2.2951557636260986, -0.4082906246185303, -1.7841863632202148, 0.32174956798553467, -0.2394597828388214, 0.39206036925315857, -1.2993972301483154, 0.17072488367557526, -3.3599965572357178, -1.8830444812774658, -0.026978015899658203, -1.855884313583374, -1.3085435628890991, -1.9292426109313965, -3.2517447471618652, -0.016802191734313965, -1.2576543092727661, -1.487847089767456]","[-0.39204445481300354, -0.9348016977310181, -3.2232062816619873, -0.3653126060962677, -2.0364577770233154, 0.18226908147335052, -0.24805845320224762, 1.2126281261444092, -1.883040428161621, 0.2769314646720886]"
26,11,8,"[-0.9784511923789978, 0.15698114037513733, 0.04637853056192398, -0.9585209488868713, -1.12566077709198, -1.6547859907150269, 0.9966481328010559, -0.33395588397979736, 0.9167107939720154, -0.7192381620407104, -2.5563294887542725, -2.059380531311035, -3.425776720046997, -1.4698221683502197, -1.1215054988861084, -2.230135917663574, -3.9817469120025635, 0.17479419708251953, -2.289883852005005, -1.2537763118743896]","[-1.0030008554458618, -0.05505220592021942, 0.01709439419209957, -1.4648761749267578, -1.6415826082229614, -1.6393357515335083, 0.9717841744422913, 1.2558529376983643, 0.9385583400726318, -0.745054304599762]"
26,11,9,"[-1.0415730476379395, 0.08984867483377457, -0.8991298675537109, -1.8562828302383423, -0.5863279104232788, -2.484998941421509, 1.1560935974121094, 0.5168096423149109, 1.2498775720596313, 1.1650162935256958, -2.5465192794799805, 0.07475244998931885, -2.488213300704956, -0.01689743995666504, -0.9361065626144409, -2.2829537391662598, -3.7347211837768555, -1.1696637868881226, -2.657374143600464, -0.7393674254417419]","[-1.0541983842849731, 0.8192481398582458, -0.900024950504303, -2.0032784938812256, -0.20470380783081055, -2.472419261932373, 1.1925443410873413, 0.13907727599143982, 1.2631080150604248, 1.2239443063735962]"
