init,targ,rollout_id,embedding,sampled_embedding
51,16,0,"[2.47369647026062, 0.03670940548181534, 2.731677770614624, -0.03664235770702362, -0.6922862529754639, -0.5651596188545227, -0.2358551323413849, -1.8579294681549072, 1.2299187183380127, -1.2251759767532349, -1.248539686203003, -1.0372272729873657, -7.261680603027344, -5.901919364929199, -2.017706871032715, -0.13564419746398926, -4.033331871032715, 1.2286438941955566, -1.1324257850646973, -1.716564655303955]","[2.052004337310791, -0.0324917808175087, 2.731936454772949, -0.03516178950667381, -0.8504585027694702, -0.734750509262085, -0.22206276655197144, -3.6757192611694336, 1.3765931129455566, -1.3550649881362915]"
51,16,1,"[-0.4315188527107239, -1.1104751825332642, 0.9629920721054077, 0.34913504123687744, -0.6761343479156494, -0.6084364056587219, -0.23731130361557007, 0.5686085224151611, 1.9325553178787231, 0.10380906611680984, -2.003739595413208, -1.6692503690719604, -2.4409773349761963, -3.562520980834961, -2.1347498893737793, -2.2603533267974854, -3.4605445861816406, -1.3793668746948242, -1.3837192058563232, -1.7167962789535522]","[-0.16946005821228027, -0.9168669581413269, 0.9142264127731323, 0.33993223309516907, -0.5801088213920593, -0.8422484397888184, -0.22053101658821106, 0.8855224847793579, 2.135364532470703, 0.1983952820301056]"
51,16,2,"[1.7987359762191772, -1.0554882287979126, 0.6144487261772156, -1.7504560947418213, -0.618506669998169, -1.481652855873108, -0.25206202268600464, 1.3022136688232422, 0.8290221095085144, 2.5222346782684326, -2.0728795528411865, -1.8727011680603027, -0.5086803436279297, 1.1142287254333496, -1.2348434925079346, -2.4959964752197266, -3.364405632019043, -1.1123409271240234, -2.1265997886657715, -1.2005332708358765]","[1.8149456977844238, -1.2049038410186768, 1.3204965591430664, -2.086139440536499, -0.10416269302368164, -1.3975766897201538, -0.23902162909507751, 1.4934107065200806, 0.9558963775634766, 2.3906846046447754]"
51,16,3,"[0.9693814516067505, 0.5501912236213684, -1.1524937152862549, -1.3532270193099976, -1.0958958864212036, -1.3927700519561768, -0.18832388520240784, 1.0984889268875122, 0.48792964220046997, 1.523476481437683, -3.479753017425537, -1.052375316619873, -4.704168796539307, -2.7911674976348877, -0.9429920315742493, -2.8646931648254395, -3.7171125411987305, -2.0748276710510254, -2.9865968227386475, -0.9736112952232361]","[0.9879769682884216, 0.3555498719215393, -1.1597883701324463, -1.3833059072494507, -0.44143903255462646, -1.4349757432937622, -0.21142549812793732, 1.3217778205871582, 0.4404572546482086, 1.8094741106033325]"
51,16,4,"[-0.4873611330986023, -0.7296392917633057, 3.7654643058776855, 0.015987589955329895, -1.5562596321105957, -0.450755774974823, -0.3816988468170166, -1.058520793914795, 1.663366675376892, -1.902122139930725, -2.2092092037200928, -0.880853533744812, -2.986865997314453, 0.970388650894165, -0.4327871799468994, -1.4620559215545654, -3.157606363296509, -0.09064841270446777, -1.6269018650054932, -0.2209223508834839]","[-0.24519258737564087, -0.8249698281288147, 3.7848355770111084, -4.013203144073486, -1.1934465169906616, -0.2764849066734314, -0.3275456428527832, -0.5832996368408203, 1.6407115459442139, -2.0951642990112305]"
51,16,5,"[-0.7350104451179504, -1.324112892150879, 1.821589708328247, -0.4488241672515869, -1.8644918203353882, -0.18941500782966614, -0.4586808681488037, 0.8500669002532959, 0.22177858650684357, -0.8990349769592285, -0.9870157241821289, -0.7735309600830078, -1.6561410427093506, 0.975147008895874, 0.0103377103805542, -1.8375351428985596, -3.0521726608276367, 0.9522514343261719, -2.381622314453125, -0.45671236515045166]","[-0.9264402389526367, -2.244732141494751, 1.5764223337173462, 1.9175455570220947, -1.886875867843628, -0.052608147263526917, -0.4709504246711731, -2.1519646644592285, 0.20752571523189545, -0.8192459344863892]"
51,16,6,"[3.228175401687622, -1.3567945957183838, 3.255190372467041, -0.015590593218803406, -0.43448951840400696, 1.304449439048767, -1.395071268081665, -1.461414098739624, 0.05391471087932587, 0.2359798550605774, -2.489751100540161, -1.0075901746749878, -6.01622200012207, -3.3766534328460693, -1.9535977840423584, -0.5494303703308105, -3.402892589569092, 0.2832009792327881, -1.4671947956085205, -1.3069958686828613]","[3.399017572402954, -1.50911283493042, 3.255566358566284, -0.019301727414131165, -0.6753060221672058, 1.4862407445907593, -1.403950572013855, 0.2942925691604614, -0.1102464497089386, 0.2377244532108307]"
51,16,7,"[3.080798387527466, -0.6549534797668457, -1.4238793849945068, -2.16924786567688, -0.7419873476028442, -2.5390100479125977, -0.07481414079666138, 0.5595583319664001, 0.6874600052833557, 0.25693365931510925, -2.0618886947631836, -1.0069169998168945, -3.9458212852478027, -0.9870078563690186, -0.8535345792770386, -3.066673755645752, -3.4848270416259766, -2.0038933753967285, -3.2680487632751465, -0.645091712474823]","[3.279182195663452, -0.28641125559806824, -1.4423142671585083, -2.0667784214019775, -1.1396143436431885, -2.583733320236206, -0.08162505179643631, 0.6720529198646545, 0.609289288520813, 0.5036258697509766]"
51,16,8,"[3.4281160831451416, -0.8903006911277771, 1.59902822971344, -0.41273754835128784, 0.0036454759538173676, -3.051379442214966, 0.09691186249256134, 0.8453546762466431, 0.4666111469268799, 0.860496997833252, -4.1020612716674805, 1.4188841581344604, -6.847132682800293, -2.184074878692627, -1.4602810144424438, -3.296565532684326, -3.5262351036071777, -2.9730186462402344, -3.6677865982055664, -0.19800233840942383]","[3.4228832721710205, -7.76091194152832, 1.598071575164795, -0.6606277227401733, -0.36402228474617004, -3.046060800552368, 0.05770191177725792, 0.9136305451393127, 0.4721190631389618, 0.7862963080406189]"
51,16,9,"[0.21395307779312134, -1.0655882358551025, 2.910531997680664, 0.5098752975463867, -1.4026179313659668, -0.004462052136659622, -0.1801774501800537, 0.691429853439331, -0.4225788712501526, -1.2366106510162354, -3.025991201400757, -2.14489483833313, -0.3281679153442383, -1.8958898782730103, -1.5825427770614624, -2.4935598373413086, -3.4128127098083496, -1.1336719989776611, -2.7412824630737305, -1.547175407409668]","[0.20613664388656616, -0.9863408803939819, 2.9027702808380127, 0.4874226152896881, -1.2026814222335815, 0.005728636868298054, -0.12988430261611938, 0.2998546063899994, -0.41041329503059387, -1.2103385925292969]"
51,16,10,"[2.191012144088745, -1.0465441942214966, 3.6278765201568604, 0.5441456437110901, -1.0081958770751953, 0.3545933961868286, -1.4127439260482788, -2.1851277351379395, 0.09245172142982483, -1.9765989780426025, 1.2970144748687744, -0.6519973278045654, -5.013462543487549, -4.125913619995117, -1.4259032011032104, 0.04955732822418213, -1.6437493562698364, 1.7579479217529297, 1.1605110168457031, -1.44186532497406]","[7.7958478927612305, -2.255049467086792, 3.62872052192688, 0.5615624189376831, -1.4318138360977173, 0.47405436635017395, -1.1726231575012207, -2.2926456928253174, -0.5030949115753174, -2.008972644805908]"
51,16,11,"[2.682159423828125, 0.4520076811313629, 3.2819650173187256, 1.6094450950622559, -0.22331443428993225, -1.4336481094360352, -0.414482057094574, -2.1946911811828613, 1.045566439628601, -0.5336697101593018, -0.8512041568756104, 0.04416990280151367, -6.818937301635742, -1.8559836149215698, -2.1484527587890625, -1.1616803407669067, -3.8779845237731934, -0.5888795852661133, -3.0122578144073486, -0.9662661552429199]","[3.107029438018799, 0.9097576141357422, 3.282207489013672, 1.4239146709442139, -0.1066242903470993, -1.5288735628128052, -0.40987274050712585, -1.645573616027832, 1.0505493879318237, -0.9507209658622742]"
51,16,12,"[-0.6480528116226196, -1.0839489698410034, -1.9221071004867554, 0.8406206369400024, -1.6791186332702637, -1.7749918699264526, -0.20948940515518188, -0.5779010653495789, 0.265666663646698, -1.3886210918426514, -3.840660333633423, -2.7714858055114746, 3.0028936862945557, -0.9732017517089844, -1.6957930326461792, -1.9550882577896118, -3.6022746562957764, -2.7638015747070312, -2.0687742233276367, -1.1435383558273315]","[-0.679564893245697, -0.9874188303947449, -16.00270652770996, 0.9854613542556763, -1.8057500123977661, -1.960339069366455, -0.16973693668842316, -0.6626884341239929, 0.20048265159130096, -1.746715784072876]"
51,16,13,"[-0.2742603123188019, -1.0817131996154785, 1.0464894771575928, -1.6147505044937134, -1.750531792640686, -2.301926851272583, -0.2874772548675537, 0.9109567403793335, 0.3102233409881592, -0.8089508414268494, -2.1779778003692627, -1.6609671115875244, -2.7047107219696045, -0.4152064323425293, -1.4112365245819092, -2.097144365310669, -3.1250596046447754, -0.5897895097732544, -1.9123039245605469, -1.33974027633667]","[-0.24846284091472626, -1.126699686050415, 1.0316364765167236, -1.357514500617981, -1.861906886100769, -2.4567794799804688, -0.1923244446516037, 0.4811871349811554, 0.5478631258010864, -0.6802381277084351]"
51,16,14,"[2.593923568725586, -1.3521300554275513, 2.8849472999572754, 1.0390088558197021, -0.7925724983215332, 0.4865769147872925, -0.8007105588912964, -1.8442472219467163, 0.13496416807174683, -1.2273250818252563, 1.311577558517456, 1.28274405002594, -4.354384422302246, -2.7197797298431396, -1.4227893352508545, -0.1623833179473877, -2.6813645362854004, 1.2109150886535645, -1.0580016374588013, -0.8608226180076599]","[11.79590892791748, -1.3466542959213257, 2.8797826766967773, 1.0507475137710571, -0.7494767308235168, -0.24514436721801758, -0.7889768481254578, -5.091239929199219, -0.039977073669433594, -1.7459924221038818]"
