init,targ,rollout_id,embedding,sampled_embedding
12,61,0,"[0.015406079590320587, -0.3354591131210327, 2.4156253337860107, 1.0720064640045166, 2.1415042877197266, 0.41524165868759155, -0.44794178009033203, -0.3183596432209015, 2.210127353668213, -0.19552046060562134, -2.8258655071258545, -1.3251861333847046, -7.2624711990356445, -0.9755549430847168, -1.3410366773605347, -0.5045252442359924, -3.4436910152435303, 1.9705126285552979, -1.5857429504394531, -1.3122634887695312]","[-0.07168455421924591, -0.38734564185142517, 2.415883779525757, 1.2761434316635132, 1.8303295373916626, 0.2979682385921478, -0.42306944727897644, -4.135456085205078, 2.3033413887023926, -0.3901273310184479]"
12,61,1,"[3.045180559158325, 0.7051384449005127, 0.9754605293273926, 0.9700912833213806, 1.1509004831314087, -1.9742058515548706, -0.32055848836898804, 0.38875797390937805, 1.171452283859253, 0.022228559479117393, 0.9392027854919434, 0.3133188486099243, -3.690418004989624, -3.309260368347168, -1.5564143657684326, -2.2449734210968018, -2.679642677307129, -2.2884485721588135, -3.419064998626709, -0.48692137002944946]","[8.016851425170898, 2.1110005378723145, 0.9614810943603516, 0.958236038684845, 1.3221205472946167, -2.211641788482666, -0.28391972184181213, 0.516440749168396, 1.197946310043335, 0.3457892835140228]"
12,61,2,"[2.6338272094726562, -2.071343421936035, 2.1110892295837402, 1.0137994289398193, 1.6040180921554565, -1.0129284858703613, -0.591667890548706, -1.1653850078582764, -0.8086586594581604, -0.8683186769485474, -1.188165307044983, -0.5489530563354492, -8.128937721252441, -1.779630422592163, -1.635209560394287, -0.13709521293640137, -3.1393139362335205, 0.6484885215759277, 0.5453770160675049, -1.2361093759536743]","[2.6730918884277344, -2.6327691078186035, 2.1114354133605957, 0.9952152967453003, 1.948667049407959, -0.12345969676971436, -0.5753356218338013, -0.05314183235168457, 1.0270271301269531, -0.995270848274231]"
12,61,3,"[2.2731873989105225, -1.7039071321487427, 1.146944284439087, 1.1371958255767822, 0.4934200346469879, -2.1804587841033936, -0.40135395526885986, -1.5176348686218262, 0.35294628143310547, -1.0344558954238892, 3.0425825119018555, -3.316189765930176, -1.7205426692962646, -0.47295308113098145, -1.2788323163986206, 0.28355205059051514, -3.3909287452697754, 1.674757957458496, 1.5491220951080322, -1.1864969730377197]","[6.73215389251709, -1.7241407632827759, 1.0028071403503418, 0.8316685557365417, 0.9611847400665283, -3.1636457443237305, -0.4333651661872864, 7.972916126251221, -4.075778961181641, -0.8032987117767334]"
12,61,4,"[2.5643062591552734, -1.3102928400039673, 1.0264933109283447, 0.7513574361801147, 1.9116015434265137, -0.31513315439224243, -0.21971821784973145, 1.1613860130310059, 0.9534223079681396, -0.47091829776763916, -0.9101989269256592, -2.1030311584472656, -8.64601993560791, -1.6342835426330566, -1.6510628461837769, -2.255056142807007, -3.5511116981506348, -1.5381214618682861, -3.5188698768615723, -1.100580096244812]","[3.4520153999328613, -1.3383760452270508, 1.0265607833862305, 0.4534899890422821, 2.01889967918396, -0.23627817630767822, -0.18318170309066772, 1.273140788078308, 0.9500064849853516, -0.5510163307189941]"
12,61,5,"[0.5713066458702087, -0.887665867805481, -1.2353994846343994, 0.9399198889732361, 1.478492021560669, 0.8894463181495667, -0.10365119576454163, -1.4322067499160767, 1.2699308395385742, 0.239096000790596, -3.3937368392944336, -1.3996223211288452, 1.5542786121368408, -0.07327747344970703, -1.1188650131225586, -1.3063011169433594, -3.803703784942627, -0.542536199092865, -1.3090338706970215, -0.9620930552482605]","[0.5540568828582764, -1.379900336265564, -7.3129730224609375, 1.7693076133728027, 1.4712554216384888, 1.1221588850021362, -0.10943806171417236, -2.105551242828369, 1.2282706499099731, 0.28723078966140747]"
12,61,6,"[-0.8145676851272583, -0.7280501127243042, 0.5328637361526489, 0.43986237049102783, 1.1300654411315918, 1.0873401165008545, -0.25556206703186035, -0.03308830410242081, -1.657165288925171, -0.4160221815109253, -0.2505526542663574, -2.0653903484344482, -1.585485816001892, -0.22847068309783936, -1.2156283855438232, -1.4351991415023804, -3.4952545166015625, 0.8863816261291504, -0.7967689037322998, -1.2641773223876953]","[0.7889246940612793, -0.7809378504753113, 0.564435601234436, 0.3534163236618042, 0.62635338306427, 1.1623103618621826, -0.2636580169200897, 3.1762092113494873, -1.978111743927002, -0.4142012596130371]"
12,61,7,"[2.403489589691162, -2.0202112197875977, 2.936296224594116, 0.7743852734565735, 1.794241189956665, -0.37159109115600586, 0.690887451171875, -2.937452793121338, 1.9114869832992554, 0.2375820279121399, -2.327018976211548, -2.0430908203125, -11.093152046203613, -3.1263842582702637, -2.283331871032715, 0.3932384252548218, -3.562781572341919, 0.288540244102478, -1.713463306427002, -1.463334083557129]","[2.555670976638794, -1.889448881149292, 2.9362528324127197, 0.7864488363265991, 1.699066162109375, -1.7944247722625732, 0.684587299823761, -1.8238688707351685, 1.5414952039718628, 0.3464242219924927]"
12,61,8,"[0.07454954087734222, -1.39353346824646, 2.647961378097534, 0.6713059544563293, 1.2591965198516846, 0.5319564938545227, -0.7842609882354736, -2.435927391052246, 2.3037912845611572, -0.2173149436712265, -1.5273529291152954, -1.3979507684707642, -5.877135276794434, 0.9764788150787354, -1.289886474609375, -0.43664443492889404, -2.8431639671325684, 0.4400063753128052, -1.2784125804901123, -1.0905429124832153]","[0.005854681134223938, -1.8043608665466309, 2.645437717437744, -5.174848556518555, 0.8232261538505554, 0.6248189210891724, -0.8618947267532349, -0.3632814884185791, 2.3638644218444824, -0.24770855903625488]"
12,61,9,"[2.7010481357574463, -1.7493113279342651, 2.0730245113372803, 0.39350491762161255, 2.3997671604156494, -0.12971779704093933, -0.10990175604820251, -1.126094102859497, -0.8254290819168091, -0.39795953035354614, -1.279147982597351, -1.7478376626968384, -4.311409950256348, -1.8252896070480347, -2.0544137954711914, -0.06869828701019287, -2.792963743209839, 1.0213384628295898, 0.05395174026489258, -1.6095728874206543]","[2.6562094688415527, -1.631435513496399, 2.0728800296783447, 0.3694097697734833, 2.5244944095611572, -0.014556236565113068, -0.01642453670501709, -4.5045976638793945, -0.6263217926025391, -0.37327662110328674]"
