init,targ,rollout_id,embedding,sampled_embedding
51,65,0,"[2.485861301422119, -0.997162401676178, 3.5627260208129883, 0.7801408767700195, -0.7633765935897827, -0.2165590524673462, -0.6245520114898682, -2.0353150367736816, 1.0839817523956299, -1.7037650346755981, -1.4181885719299316, -0.555365800857544, -3.9324276447296143, -5.254195213317871, -1.4707987308502197, -0.30629706382751465, -3.314645767211914, 1.5159587860107422, -0.6525355577468872, -1.298753261566162]","[2.129969596862793, -1.1092050075531006, 3.5699472427368164, 0.7829705476760864, -1.0366827249526978, -0.3595435619354248, -0.5962537527084351, -4.4581451416015625, 1.3209924697875977, -1.9010189771652222]"
51,65,1,"[2.2550864219665527, -1.053625464439392, 3.26522159576416, 0.006047971546649933, -0.9459046125411987, -0.4912334084510803, -0.6969989538192749, -1.3098223209381104, 1.8807098865509033, -2.2043850421905518, 0.16393399238586426, -1.667529821395874, -5.946451187133789, -1.2894277572631836, -1.5334258079528809, -0.3797916769981384, -3.1544690132141113, 0.38216280937194824, -1.5509583950042725, -0.9740127921104431]","[4.544938564300537, -0.8596838116645813, 3.2637569904327393, -0.0833057314157486, -0.7707028388977051, -2.0243828296661377, -0.6742098927497864, 0.5350402593612671, 2.05228590965271, -2.0055859088897705]"
51,65,2,"[2.373897075653076, -0.6095103025436401, 1.1332727670669556, -1.19461989402771, -0.2687055766582489, -1.8336261510849, -0.21957871317863464, 0.8068274259567261, 2.286858558654785, 0.3591824471950531, -0.5458993911743164, -2.232985019683838, -1.5818226337432861, -2.114291191101074, -2.0928986072540283, -2.3717164993286133, -3.627171039581299, -1.6877552270889282, -1.9221317768096924, -1.5254539251327515]","[2.448530673980713, -0.7137244343757629, 1.3746933937072754, -1.207918405532837, -0.050631001591682434, -1.7384239435195923, -0.20955166220664978, 0.9143704175949097, 2.442517042160034, 0.2641264796257019]"
51,65,3,"[2.918771743774414, -1.6376429796218872, 2.7569961547851562, -0.836578905582428, 0.5372798442840576, -0.4689652919769287, 0.47571825981140137, 1.464504599571228, 0.26275545358657837, -0.5154051184654236, -1.5803574323654175, -0.27592527866363525, -5.950692176818848, -5.721487998962402, -1.2303013801574707, -0.7673739790916443, -2.4072251319885254, -0.039009809494018555, -1.5293962955474854, -0.5422702431678772]","[3.0430240631103516, -2.0607430934906006, 2.754899024963379, -0.8381845355033875, 1.0283055305480957, -0.8127011060714722, 0.3901093006134033, 3.174565315246582, 0.05891275405883789, -0.0751630961894989]"
51,65,4,"[-0.9868313670158386, -1.3298088312149048, -0.6770912408828735, -0.3072330355644226, -1.0739644765853882, 2.2304792404174805, -0.2062038779258728, -1.5130692720413208, 0.3344907760620117, 0.6461711525917053, -2.0008246898651123, -1.5727343559265137, -0.26562023162841797, 0.12592864036560059, -1.2633531093597412, -1.3017181158065796, -3.665480375289917, -0.11752665042877197, -2.9847447872161865, -1.239008903503418]","[-0.6885555982589722, -1.3775345087051392, -0.38266098499298096, -2.038936138153076, -0.9158495664596558, 2.4350571632385254, -0.17361590266227722, -1.0504510402679443, 0.32866352796554565, 0.5764277577400208]"
51,65,5,"[2.358947515487671, -1.9026917219161987, 5.175149440765381, 1.2236502170562744, -0.5198559761047363, -0.6123827695846558, 0.14253859221935272, -2.343007802963257, 1.6199777126312256, -1.3387771844863892, -1.0101251602172852, -2.564467430114746, -4.071970462799072, -3.157425880432129, -1.4473774433135986, 0.04990684986114502, -4.07676887512207, 1.932072401046753, -1.2549848556518555, -1.3263044357299805]","[2.1718907356262207, -2.0562546253204346, 5.153257846832275, 1.261610507965088, -0.5250662565231323, 0.2908787727355957, 0.13813453912734985, -10.340357780456543, 1.5760037899017334, -1.3053357601165771]"
51,65,6,"[2.9823031425476074, -0.9937112927436829, 1.7099835872650146, 1.1701154708862305, 0.1576148122549057, -1.154477834701538, 0.05884470045566559, -0.5718687772750854, 0.7123616933822632, 0.3292156755924225, -2.3314168453216553, -1.6693642139434814, -9.726701736450195, -1.1024372577667236, -1.8697283267974854, -1.4563316106796265, -3.485196352005005, -2.1584720611572266, -3.0768046379089355, -1.0507802963256836]","[3.182454824447632, -1.0722975730895996, 1.70999276638031, 1.1340421438217163, -0.10426999628543854, -1.0810753107070923, 0.05066691339015961, -0.4190956950187683, 0.6795350909233093, 0.33146974444389343]"
51,65,7,"[2.7094571590423584, -1.0284889936447144, 1.6766892671585083, 0.6098575592041016, 0.40305712819099426, -4.271419525146484, -0.1051003634929657, 0.4454629719257355, 1.7568689584732056, -0.9494737386703491, -2.0883591175079346, 0.07954537868499756, -4.857420921325684, -1.2855126857757568, -0.9453974962234497, -2.5592665672302246, -3.267909526824951, -0.9639204740524292, -1.8824180364608765, -0.43186938762664795]","[2.902658700942993, 0.06378567218780518, 1.6692806482315063, 0.6858824491500854, 0.04032972455024719, -4.345704078674316, -0.11356116086244583, 0.763725996017456, 1.4443933963775635, -0.6441527009010315]"
51,65,8,"[-0.4481874108314514, -0.9917412400245667, 0.8055115938186646, -0.4423099756240845, -1.0330382585525513, 0.06678979098796844, -0.15340015292167664, -1.4940025806427002, 0.871965765953064, 1.0460803508758545, -5.2111496925354, -2.905954360961914, -1.089691400527954, 0.7395877838134766, -1.6158461570739746, -1.199066162109375, -3.566288948059082, -1.3040025234222412, -2.6689045429229736, -1.3472052812576294]","[-0.44991353154182434, -1.0826785564422607, 0.502693772315979, -5.055377960205078, -1.3477365970611572, 0.11011337488889694, -0.19107063114643097, -1.1316664218902588, 0.8869211077690125, 1.0225669145584106]"
51,65,9,"[-0.21027711033821106, -2.1586716175079346, 1.158831000328064, 0.612293541431427, -0.770247220993042, -0.310579776763916, -0.3897343873977661, -1.6163235902786255, 0.30150163173675537, 0.9645028114318848, -2.5038185119628906, -1.5204237699508667, -0.46710705757141113, 0.8857421875, -0.1873631477355957, -0.8033562898635864, -3.1538619995117188, 1.3619422912597656, -0.5861053466796875, -0.6050266027450562]","[-0.22345317900180817, -2.0106964111328125, 1.1520761251449585, 0.24978691339492798, 0.03663647174835205, -0.2553402781486511, -0.32457610964775085, -6.365810871124268, 0.40648341178894043, 1.031903624534607]"
