init,targ,rollout_id,embedding,sampled_embedding
26,65,0,"[2.818828821182251, -0.8624325394630432, -0.8013527393341064, -0.42477190494537354, -0.26929453015327454, -2.4769113063812256, -0.2120024561882019, 0.4466263949871063, 1.5336909294128418, 0.2798428535461426, -0.9975857734680176, -0.47095048427581787, -3.9302618503570557, -3.4726057052612305, -1.8464000225067139, -2.5160255432128906, -3.556605815887451, -1.156808853149414, -2.626014471054077, -1.223578691482544]","[2.276848793029785, -0.984343945980072, -0.7941159605979919, -0.40796583890914917, -0.4570220112800598, -2.492601156234741, -0.18978582322597504, 0.27930375933647156, 1.5666289329528809, 0.06718888878822327]"
26,65,1,"[2.3433876037597656, -1.0331165790557861, 1.6161255836486816, 0.34260696172714233, -0.28928685188293457, 0.9384392499923706, 0.7530049085617065, -2.140219211578369, 0.4463711977005005, -1.6154639720916748, -4.523036003112793, -3.885356903076172, -7.305105209350586, -2.661259174346924, -1.6026225090026855, -0.14427638053894043, -2.575136184692383, -0.4364345073699951, -2.7682085037231445, -1.3289695978164673]","[2.364487648010254, -1.0120068788528442, 1.6157492399215698, 0.3199431002140045, -0.1257985383272171, -1.0018543004989624, 0.7936798930168152, -1.326542854309082, 0.49716508388519287, -1.4760651588439941]"
26,65,2,"[-0.01880323886871338, -0.8825628757476807, 2.1359195709228516, 0.25623834133148193, 0.0782812088727951, 2.0396440029144287, -0.4813151955604553, -2.1641294956207275, 1.1895619630813599, -1.9658255577087402, -1.519801378250122, -1.0571668148040771, -3.005661964416504, -0.46350204944610596, -1.3709385395050049, 0.007324337959289551, -2.297988176345825, 1.0488741397857666, -1.872291088104248, -1.2244346141815186]","[0.0093789491802454, -1.2202993631362915, 2.1940507888793945, 0.18693885207176208, 0.5271798968315125, 3.0673084259033203, -0.4434334635734558, -0.5042176246643066, 1.353175163269043, -2.094268560409546]"
26,65,3,"[-0.45357245206832886, -0.9779942035675049, 2.093794822692871, 0.019832752645015717, -1.4304602146148682, 0.5263394713401794, -0.14581087231636047, -0.7753803133964539, -0.5278103947639465, 0.8221724033355713, -3.2791907787323, -2.9957149028778076, -1.1818187236785889, -1.240607500076294, -2.1723663806915283, -1.4252514839172363, -3.468195915222168, -1.7403265237808228, -3.020860195159912, -1.7399940490722656]","[-0.43084707856178284, -1.0058716535568237, 1.8467698097229004, -0.12196256965398788, -1.239047646522522, 0.3483017086982727, -0.17544181644916534, -0.4633914530277252, -0.5736837387084961, 0.9550728797912598]"
26,65,4,"[3.6958165168762207, -1.5762516260147095, 3.9485979080200195, 0.23941262066364288, 1.321239948272705, -2.4347798824310303, 0.06531286239624023, 0.7266805768013, 0.7665817141532898, -0.03430534154176712, -2.6314375400543213, 0.0026350021362304688, -7.924870491027832, -2.1724753379821777, -1.3691086769104004, -1.6207486391067505, -2.538050651550293, -1.5243725776672363, -3.4295473098754883, -0.39121323823928833]","[3.8545784950256348, -1.806887149810791, 3.9487366676330566, 0.06551674008369446, 1.463487148284912, -2.2860817909240723, 0.16593508422374725, 0.8399825096130371, 0.7628467082977295, -0.19712093472480774]"
26,65,5,"[1.2920963764190674, -0.7054125070571899, 0.8953473567962646, -2.0285983085632324, 0.19548557698726654, -0.4441000819206238, -0.3225746154785156, 1.5887571573257446, 0.3528296947479248, 0.11759278178215027, -2.7650129795074463, -0.405717134475708, -5.953449249267578, -3.2249419689178467, -1.7567386627197266, -2.7009220123291016, -4.111883640289307, -2.1622040271759033, -4.3098931312561035, -1.0678972005844116]","[1.2597492933273315, -2.0353140830993652, 0.892011821269989, -1.9931163787841797, 0.19166167080402374, -0.3864043354988098, -0.32682669162750244, 1.4554588794708252, 0.35075733065605164, 0.16089487075805664]"
26,65,6,"[0.11289500445127487, -1.1129615306854248, -0.7459436058998108, 0.34345394372940063, -1.319600224494934, 0.45211654901504517, -0.2782207727432251, 0.579870879650116, 1.0875458717346191, 0.021126922219991684, -3.711552143096924, -2.543700695037842, -2.665153980255127, -2.0611424446105957, -1.8942351341247559, -1.8035341501235962, -3.3253273963928223, -0.8251957893371582, -1.950279951095581, -1.8050366640090942]","[0.16324204206466675, -1.1457428932189941, -0.7352184057235718, 0.329623818397522, -1.5751450061798096, 0.5039873123168945, -0.28781622648239136, 1.1594080924987793, 0.9862785935401917, 0.02218715287744999]"
26,65,7,"[3.1929824352264404, -0.3953664302825928, -1.394154667854309, 0.5506507754325867, -0.11289875209331512, -3.2760751247406006, -0.2226954698562622, 0.45522913336753845, 2.281226396560669, -1.2608157396316528, -1.3184387683868408, -0.9488092660903931, -3.9504482746124268, -0.8660430908203125, -1.144538164138794, -2.2159082889556885, -3.4069652557373047, -1.5433554649353027, -1.6264019012451172, -0.6634110808372498]","[3.6102192401885986, -0.004774630069732666, -1.4125044345855713, 0.6662963628768921, -0.4101301431655884, -3.3807919025421143, -0.23005788028240204, 0.6335247755050659, 1.877578854560852, -1.018601655960083]"
26,65,8,"[2.3592050075531006, -0.5975740551948547, 2.5664329528808594, 0.0005514770746231079, -0.9258930683135986, -0.1988958865404129, 0.6933896541595459, -2.2066943645477295, 1.7448246479034424, -1.8320125341415405, -1.8976449966430664, -2.3447468280792236, -6.4110822677612305, -3.7546372413635254, -2.4242255687713623, -0.2590320110321045, -3.9241108894348145, -0.7117027640342712, -1.1744369268417358, -1.508971095085144]","[2.3117690086364746, -0.7569677829742432, 2.564953327178955, -0.050991885364055634, -1.066116213798523, -0.08798453211784363, 0.6670505404472351, -1.5515391826629639, 1.8114800453186035, -1.8520139455795288]"
26,65,9,"[2.733400583267212, -0.6714304685592651, 1.8766427040100098, 1.1234736442565918, -0.45172590017318726, -0.26819488406181335, 0.7368115186691284, -2.5597548484802246, 1.1025675535202026, -1.8109164237976074, -3.1902990341186523, -2.3527917861938477, -6.069028854370117, -3.163634777069092, -1.590707540512085, 0.32262754440307617, -3.6049790382385254, 0.15488684177398682, -1.2836863994598389, -1.3417044878005981]","[2.7267684936523438, -0.607058584690094, 1.8766177892684937, 1.1171540021896362, -0.25341516733169556, -0.09787780046463013, 0.7783119082450867, -3.980215549468994, 1.1548261642456055, -1.7786515951156616]"
26,65,10,"[-0.19706615805625916, -1.2295513153076172, 3.7170298099517822, 0.19471676647663116, -0.5780783891677856, -1.0307161808013916, -0.3650957942008972, -0.32987338304519653, 1.7743875980377197, -1.0207933187484741, -0.4820600748062134, -1.5648187398910522, -2.7487149238586426, -0.4301234483718872, -2.035247802734375, -1.1933830976486206, -2.5638816356658936, -1.388635516166687, -0.5594570636749268, -1.1279045343399048]","[0.7489980459213257, -1.7146334648132324, 3.72515606880188, 0.8962188363075256, -0.8084025382995605, -0.9962475895881653, -0.2694157660007477, -0.33449652791023254, 1.6677420139312744, -1.0651075839996338]"
26,65,11,"[-0.44142574071884155, -1.2683755159378052, 2.8940110206604004, -0.09507468342781067, -0.7279726266860962, 0.49312520027160645, -0.5087628364562988, -1.6668140888214111, 1.8482824563980103, -0.5141125321388245, -1.4319043159484863, -1.876096487045288, -4.16451358795166, 0.2516767978668213, -1.5527870655059814, -0.5259354710578918, -2.8164777755737305, -0.39396703243255615, -0.9581804275512695, -1.075129508972168]","[-0.20370817184448242, -1.2012840509414673, 2.8974597454071045, -1.621797800064087, -0.5162689089775085, 0.3132987916469574, -0.4954386055469513, -0.9995238184928894, 1.887147307395935, -0.888146162033081]"
26,65,12,"[1.7897348403930664, -0.7516711354255676, 1.2109302282333374, -2.0371129512786865, -0.43409231305122375, -3.3145065307617188, -0.1981559693813324, 0.7916298508644104, 1.7667831182479858, -1.582567572593689, -1.3952292203903198, -1.8060946464538574, -1.7404570579528809, -0.5721158981323242, -1.7084307670593262, -2.0329508781433105, -3.4298243522644043, -0.8849934339523315, -1.4861342906951904, -1.2717655897140503]","[1.426226258277893, -0.4982008635997772, 0.8766111135482788, -1.8208012580871582, -0.5591334700584412, -3.4859697818756104, -0.15092158317565918, 0.2366371750831604, 1.6500542163848877, -1.897566795349121]"
