init,targ,rollout_id,embedding,sampled_embedding
21,61,0,"[-0.48539942502975464, 0.20610660314559937, 0.3856092691421509, -0.29287758469581604, 2.1450116634368896, 1.3295373916625977, -0.09386023879051208, 0.8911426067352295, -1.6857584714889526, 0.10487398505210876, -3.8699207305908203, -2.4588782787323, -2.785370111465454, -2.6358392238616943, -1.8642182350158691, -1.3722596168518066, -3.4313292503356934, -0.8677600622177124, -1.1465957164764404, -1.4497010707855225]","[-0.5160574316978455, 0.18940730392932892, 0.4083479344844818, -0.25407421588897705, 1.9605995416641235, 1.2802940607070923, -0.06867853552103043, 0.6677406430244446, -1.5411477088928223, -0.06474317610263824]"
21,61,1,"[2.971785068511963, 1.2008206844329834, -1.262666940689087, 0.950752317905426, 0.3370472490787506, -1.2846299409866333, -0.11428731679916382, 0.4620259404182434, -0.5846723914146423, -1.0438332557678223, -1.335796594619751, 0.14323663711547852, -6.597631454467773, -0.751117467880249, -1.1076974868774414, -1.7763429880142212, -3.208047866821289, -1.2159565687179565, -2.2768635749816895, -0.754132866859436]","[3.4828577041625977, 2.3867995738983154, -1.2634305953979492, 0.797679603099823, 0.6052294373512268, -1.664005994796753, -0.09268712997436523, 0.8351984024047852, -0.5016491413116455, -0.7961439490318298]"
21,61,2,"[-0.6710928082466125, -0.5890136957168579, 2.1971912384033203, 1.1840311288833618, 0.7241994142532349, -1.1158556938171387, -0.20538735389709473, -2.735806703567505, 1.632398247718811, -1.6578584909439087, 1.1862587928771973, -1.1896098852157593, -4.668646335601807, -0.18178224563598633, -2.276576042175293, -0.21925723552703857, -2.733154773712158, -0.5693032741546631, 0.012476205825805664, -1.6680985689163208]","[-0.24920040369033813, -0.8848549127578735, 2.2082111835479736, 1.0921810865402222, 0.9056819677352905, -0.2965458631515503, -0.18087191879749298, -2.4067130088806152, 2.7097623348236084, -1.740277886390686]"
21,61,3,"[0.9769383072853088, 1.420586347579956, -0.6295207738876343, 0.08928517997264862, 1.253357172012329, -0.20453986525535583, -0.22106724977493286, 0.4598378539085388, 0.22711946070194244, -0.9831390380859375, -2.0416007041931152, -1.205610990524292, -3.0280284881591797, -2.6263816356658936, -1.7449045181274414, -2.1540603637695312, -3.3654472827911377, -0.8680171370506287, -3.3954243659973145, -1.3280261754989624]","[1.0552793741226196, 1.2535982131958008, -0.6685097813606262, 0.05381790176033974, 1.5468617677688599, -0.2904401421546936, -0.25390464067459106, 1.2062492370605469, 0.1955774426460266, -0.7824877500534058]"
21,61,4,"[1.5610500574111938, 0.7041581273078918, 2.7248289585113525, -0.6009467244148254, 1.861907720565796, -1.3525644540786743, -0.3358684778213501, 1.2506333589553833, 0.42164766788482666, -0.3864544928073883, -3.65816068649292, -0.1714688539505005, -6.304886817932129, -3.353743314743042, -1.3547194004058838, -2.138413429260254, -2.914142608642578, -1.1404898166656494, -2.848780393600464, -0.7825018763542175]","[1.617915153503418, 0.5103759169578552, 2.7255306243896484, -0.6543135046958923, 2.006216526031494, -1.263953685760498, -0.2667873799800873, 1.4169576168060303, 0.4149717390537262, -0.49654796719551086]"
21,61,5,"[-0.9076874256134033, -0.7338547110557556, 2.4585063457489014, 1.133655071258545, 1.8067289590835571, 0.7056722640991211, -0.5257525444030762, -0.7957890033721924, 1.2616180181503296, -0.09750690311193466, 2.514765739440918, -0.8079280853271484, -2.42466402053833, -0.8793354034423828, -1.6502225399017334, 0.2000720500946045, -2.81272292137146, 2.4722704887390137, 1.1473989486694336, -1.334317922592163]","[-4.7030558586120605, -1.6233456134796143, 2.344822883605957, 1.5040721893310547, 1.8024752140045166, 1.7552858591079712, -0.5413416624069214, -9.355255126953125, 0.7757294178009033, -0.06433244049549103]"
21,61,6,"[0.96821129322052, 0.04668591171503067, -0.8227849006652832, 0.9714774489402771, 0.6794697046279907, 0.3544996380805969, 0.9241853356361389, 1.32071852684021, -1.5899571180343628, -0.5986353754997253, -2.4048314094543457, -3.467247486114502, -2.752807378768921, -2.488454818725586, -2.3455970287323, -2.080880641937256, -3.845329761505127, -1.472731590270996, -1.6348240375518799, -1.921156644821167]","[1.1541953086853027, 0.0336681492626667, -0.8129597306251526, 0.9624566435813904, 0.51674884557724, 0.3938068747520447, 0.918480634689331, 1.6240099668502808, -1.7287828922271729, -0.5976913571357727]"
21,61,7,"[-0.3380591869354248, 0.032111771404743195, 0.24908901751041412, 1.2895236015319824, 1.2718994617462158, -0.4182126522064209, 0.3547790050506592, 0.09445188194513321, -0.10281677544116974, 0.08767063170671463, -3.9993114471435547, -3.141326904296875, -3.061253309249878, -1.1716207265853882, -2.042353391647339, -1.4327118396759033, -3.5931718349456787, -1.3657115697860718, -2.6804542541503906, -1.5776476860046387]","[-0.3094770610332489, 0.07571561634540558, 0.20444095134735107, 1.3747193813323975, 1.1507898569107056, -0.6473806500434875, 0.3486674427986145, 0.3074081838130951, -0.24349704384803772, 0.18475550413131714]"
21,61,8,"[2.8004281520843506, -0.9849561452865601, 4.129741191864014, 0.7718554735183716, 2.102846145629883, -0.8779934644699097, -0.4285597801208496, -3.023716449737549, 0.018870100378990173, 0.9313880801200867, -3.507300853729248, -0.3270057439804077, -8.740148544311523, 0.2595548629760742, -2.7797298431396484, -0.6038459539413452, -3.0562877655029297, -1.2005356550216675, -1.9715670347213745, -1.1485697031021118]","[2.790942907333374, -2.1838064193725586, 4.129597187042236, -2.082540512084961, 2.00457501411438, -0.799429178237915, -0.49129217863082886, -2.621882438659668, 0.04890640079975128, 0.9027079343795776]"
21,61,9,"[-0.14306971430778503, -0.3218613564968109, 0.29087162017822266, 0.9710606932640076, 0.562287449836731, -0.023725762963294983, 0.7795673608779907, -2.037951946258545, -0.8687101602554321, 0.6708582639694214, -3.7385501861572266, -1.5459678173065186, -4.624054908752441, 0.12586617469787598, -0.9888366460800171, -1.1212888956069946, -3.8904879093170166, 0.2964181900024414, -1.2737135887145996, -1.0206685066223145]","[-0.14690279960632324, -0.1776180863380432, 0.2907658815383911, 0.8015074729919434, 0.9243098497390747, 0.016469348222017288, 0.8107603788375854, -3.674374580383301, -0.8159277439117432, 0.7153371572494507]"
