init,targ,rollout_id,embedding,sampled_embedding
63,11,0,"[-1.1118006706237793, 1.1373040676116943, 0.6845345497131348, 0.49261629581451416, -1.7632899284362793, -1.2642358541488647, 1.247267246246338, 0.4326151907444, 0.23569487035274506, 0.7414849996566772, -1.753309726715088, -2.298201084136963, -3.134305953979492, -2.386488437652588, -1.6039036512374878, -2.0541462898254395, -3.5871939659118652, -1.0599720478057861, -3.3203368186950684, -1.413591742515564]","[-1.3663526773452759, 1.1176940202713013, 0.7005752921104431, 0.5424084663391113, -2.002534866333008, -1.289136290550232, 1.2688145637512207, 0.24827910959720612, 0.2521445155143738, 0.5656311511993408]"
63,11,1,"[-0.0017842203378677368, -0.3853805661201477, 0.4448699355125427, -2.5611963272094727, -0.7744321823120117, 0.9321748614311218, -0.1818094253540039, 1.4582079648971558, -0.5833759903907776, -0.46059051156044006, -2.4194719791412354, -2.0768091678619385, -3.6842498779296875, -0.1434633731842041, -2.130789279937744, -2.058957576751709, -3.4901111125946045, -3.0096726417541504, -3.2070531845092773, -1.4207048416137695]","[0.17113706469535828, -0.25657835602760315, 0.430804044008255, -2.8422560691833496, -0.6780256032943726, 0.6461973190307617, -0.16551800072193146, 1.5202817916870117, -0.5506250858306885, -0.3334105312824249]"
63,11,2,"[0.9152500033378601, 0.05592184513807297, 0.13802196085453033, -2.4831290245056152, 0.32107505202293396, 0.5019309520721436, -0.7577190399169922, 0.2602129876613617, -1.0454367399215698, -1.755835771560669, -2.133119821548462, -1.1161235570907593, -5.308212757110596, -2.072458028793335, -1.7376165390014648, -2.255004405975342, -3.3354415893554688, -4.18782901763916, -1.7582476139068604, -1.3005623817443848]","[0.9305120706558228, -0.2624783515930176, 0.14383527636528015, -2.496995687484741, 0.6321765184402466, 0.6089187860488892, -0.7442954182624817, 0.26903998851776123, -0.8620588779449463, -1.874863624572754]"
63,11,3,"[-1.5953298807144165, 0.2725207209587097, -0.8730823993682861, 0.2030288428068161, -0.4412215054035187, 0.5536962747573853, -0.6035523414611816, -0.8108288049697876, -0.4776765704154968, -1.1237328052520752, -2.0967063903808594, -1.3848400115966797, -3.1505141258239746, -0.18583083152770996, -0.61895751953125, -2.1025216579437256, -3.1898226737976074, -0.24314695596694946, -2.451885223388672, -0.8657815456390381]","[-1.5211890935897827, 0.1329328864812851, -0.9075766801834106, -0.20411287248134613, 0.4636928141117096, 0.4632527530193329, -0.6426942348480225, 0.5834702253341675, -0.5587098598480225, -0.8051720261573792]"
63,11,4,"[0.34073343873023987, -0.2587825059890747, 0.5893147587776184, -1.7724162340164185, -1.1242307424545288, -0.6030750870704651, -0.7062467932701111, 0.5400685667991638, -0.38132596015930176, -0.39279597997665405, -3.0395736694335938, -2.5493102073669434, -3.351968288421631, -0.42002570629119873, -1.5539870262145996, -2.408245325088501, -3.4444878101348877, -1.310990810394287, -3.020235061645508, -1.339263677597046]","[0.4462924003601074, -0.2767559289932251, 0.602760910987854, -2.7755722999572754, -1.0059940814971924, -0.5354200601577759, -0.6655993461608887, 0.680320143699646, -0.3869500160217285, -0.4558863341808319]"
63,11,5,"[0.577335774898529, -0.9240816235542297, 2.0209972858428955, 0.04384239763021469, -0.7617584466934204, -0.633135974407196, 0.4044764041900635, 0.221219003200531, -0.6364688873291016, -0.8034693598747253, 0.04728889465332031, 0.9993337392807007, -4.733245849609375, -1.34891939163208, -1.2811241149902344, -1.9697397947311401, -2.721350908279419, -0.48488157987594604, -3.553104877471924, -0.7005110383033752]","[0.03881525993347168, -6.344407558441162, 2.0096969604492188, 0.27545031905174255, -0.7679111361503601, -0.5132710337638855, 0.38739579916000366, -0.492087721824646, -0.6408859491348267, -0.7409430742263794]"
63,11,6,"[-0.21804013848304749, -0.35322314500808716, -1.8362265825271606, -0.6540620923042297, -1.9837164878845215, 2.433016300201416, -0.2852756977081299, 0.46146541833877563, -0.7070861458778381, -0.7394431829452515, -3.2555718421936035, -2.223989248275757, -1.592494010925293, -1.2920113801956177, -1.9885362386703491, -1.2711631059646606, -3.3838367462158203, -2.356424331665039, -2.492875337600708, -1.3429943323135376]","[-0.13860663771629333, -0.39835429191589355, -1.8048752546310425, -0.6839059591293335, -2.216264486312866, 2.521350383758545, -0.2943258583545685, 0.5868018269538879, -0.7659465074539185, -0.7377602458000183]"
63,11,7,"[2.6587510108947754, 0.8668718934059143, -1.100388526916504, -1.7220436334609985, -0.8549016714096069, -1.461534023284912, -0.08327600359916687, -0.14606547355651855, 0.592309296131134, 0.4562126100063324, -1.0420726537704468, -1.0163943767547607, -3.9406039714813232, -0.6456449031829834, -0.6981178522109985, -2.4539835453033447, -3.5509824752807617, -1.0087350606918335, -3.4237070083618164, -0.7476505041122437]","[3.2088069915771484, 1.2319377660751343, -1.118919849395752, -1.577883005142212, -1.319387674331665, -1.5440658330917358, -0.08965091407299042, 0.15824958682060242, 0.5254067182540894, 0.6788585186004639]"
63,11,8,"[1.7322663068771362, 0.25328677892684937, 0.45729345083236694, 1.0812842845916748, -0.5727566480636597, 0.11159402132034302, -0.2241213023662567, -2.0795438289642334, -1.3578767776489258, -1.8635720014572144, 3.6650075912475586, -0.24704229831695557, -8.690155982971191, -1.0897161960601807, -0.6312874555587769, 0.011362671852111816, -2.376923084259033, 0.028578758239746094, 0.7722134590148926, -0.6212519407272339]","[-0.6056782007217407, -1.0453648567199707, 0.4571419656276703, 0.3407703638076782, -1.4150879383087158, 0.2569413185119629, -0.34786874055862427, -0.7059941291809082, -0.890943169593811, -1.9121671915054321]"
63,11,9,"[2.316882610321045, -1.0548261404037476, 0.411018967628479, -2.3010196685791016, -1.1223716735839844, -0.6710863709449768, -0.3592013120651245, 0.5742092728614807, -1.725598931312561, -0.4880162179470062, -0.08672666549682617, -1.2263586521148682, -3.5242953300476074, 0.802121639251709, -1.0529212951660156, -2.433201789855957, -3.171008586883545, -0.7594516277313232, -1.5810284614562988, -1.0437918901443481]","[2.1691367626190186, -0.8562623262405396, 0.41070136427879333, -2.634446144104004, -0.7828216552734375, -0.6602616310119629, -0.2951507568359375, 0.004914641380310059, -1.6867817640304565, -0.44455403089523315]"
