init,targ,rollout_id,embedding,sampled_embedding
63,65,0,"[2.69138503074646, -0.508384644985199, 1.007554292678833, -0.0948035717010498, 0.24736036360263824, 0.37309277057647705, 0.8115613460540771, -1.5415343046188354, -0.05130467563867569, -0.6036460399627686, -4.6263628005981445, -1.6759510040283203, -6.8101959228515625, -0.8032547235488892, -2.067044734954834, -0.7208310961723328, -4.110191345214844, -1.1329255104064941, -1.0890893936157227, -1.3927645683288574]","[2.6933863162994385, -0.58454829454422, 1.0052274465560913, 0.4775165915489197, 0.05736115574836731, -0.30195897817611694, 0.8067027926445007, -1.2112271785736084, -0.3561519980430603, -0.5257925391197205]"
63,65,1,"[-0.342584490776062, -2.033980369567871, 3.369349718093872, 0.0029464811086654663, -1.0059566497802734, 0.17635296285152435, -0.646338939666748, -1.4718316793441772, 0.9825630784034729, -1.352871060371399, -1.5542776584625244, -1.0682958364486694, -5.446450233459473, 0.1036837100982666, -0.6252317428588867, -0.4530646800994873, -3.362797975540161, 1.7555558681488037, -2.030100107192993, -0.716796875]","[-0.43313953280448914, -1.9827946424484253, 3.3680880069732666, -0.36147892475128174, -1.0175554752349854, -0.4338766932487488, -0.6478951573371887, -6.546111106872559, 1.0681910514831543, -1.2584539651870728]"
63,65,2,"[2.376465320587158, -1.4297890663146973, 3.244079828262329, 0.18143410980701447, -1.1315135955810547, -0.6526482105255127, 0.0020740628242492676, -1.9745291471481323, 1.2284908294677734, -0.6190875768661499, -0.6113641262054443, 0.23574233055114746, -3.655980348587036, -2.7372703552246094, -1.9238427877426147, -0.4999266266822815, -3.6346254348754883, 0.5623226165771484, -0.403537392616272, -0.991690456867218]","[2.9765312671661377, -1.988257646560669, 3.241210699081421, 0.1472991406917572, -1.1329630613327026, -0.7245762348175049, -0.004710615612566471, -1.576737642288208, 1.1876500844955444, -0.7337925434112549]"
63,65,3,"[2.391688585281372, -2.2074315547943115, 2.5155835151672363, 0.1347782462835312, 1.0563058853149414, 0.8823239207267761, -1.392647385597229, -1.7034238576889038, -0.31718021631240845, -0.33125174045562744, 1.4477014541625977, -0.653462290763855, -1.7985351085662842, -4.965542793273926, -2.242255926132202, 0.6410527229309082, -2.3286004066467285, 2.1456170082092285, 0.7028903961181641, -1.600712537765503]","[0.551601767539978, -2.6348118782043457, 2.689154624938965, 0.14392141997814178, 0.898858904838562, 0.045381903648376465, -1.2366821765899658, -4.2786359786987305, -2.2352118492126465, -0.6606210470199585]"
63,65,4,"[2.9153177738189697, -0.7439912557601929, 1.209031105041504, -1.7248903512954712, -0.8227193355560303, -2.924375534057617, -0.1738557517528534, 0.672252357006073, 1.3431528806686401, 0.6912357807159424, -1.7229695320129395, 0.3062335252761841, -3.037327289581299, -1.7465617656707764, -1.3072576522827148, -2.3622379302978516, -3.550075054168701, -2.1020734310150146, -3.490802049636841, -0.46250927448272705]","[2.955587148666382, -0.6581289768218994, 1.1898566484451294, -1.8578224182128906, -0.5822306871414185, -2.8850858211517334, -0.15773847699165344, 0.7654052972793579, 1.3346480131149292, 1.0459294319152832]"
63,65,5,"[0.516487717628479, -0.3257991075515747, 1.452399492263794, 0.4010315537452698, -0.9917260408401489, 0.23051835596561432, -0.20853349566459656, 0.9946394562721252, 0.053054504096508026, 0.6031575202941895, -1.4677759408950806, -2.2595200538635254, -2.5525474548339844, -2.1339519023895264, -1.9188963174819946, -2.0875978469848633, -3.1760897636413574, -1.882466197013855, -2.970198392868042, -1.5212631225585938]","[0.6392554640769958, -0.44251981377601624, 1.4869674444198608, 0.3967210650444031, -0.5786124467849731, 0.2971780002117157, -0.20523037016391754, 0.8945249319076538, 0.05179815739393234, 0.48969775438308716]"
63,65,6,"[3.524996519088745, -0.46990007162094116, 3.548658847808838, 1.4048274755477905, -0.2029733955860138, -1.5496137142181396, -0.08371543884277344, 0.21737724542617798, 0.8813638687133789, 0.09203625470399857, -1.5552520751953125, -0.03632152080535889, -7.597316741943359, -0.9464805126190186, -1.5760045051574707, -1.376391887664795, -2.7374038696289062, -2.5277791023254395, -3.3718204498291016, -0.38810598850250244]","[3.6285758018493652, -0.5475165843963623, 3.5478384494781494, 1.5587949752807617, 0.10364830493927002, -1.3379907608032227, -0.07514278590679169, 0.31654468178749084, 0.8451277017593384, -1.4153892993927002]"
63,65,7,"[3.4614205360412598, 0.5648504495620728, 0.5256217122077942, 1.441288948059082, -0.15336070954799652, -2.6026902198791504, 0.22033433616161346, 0.10753852128982544, 0.7468153238296509, 0.003540117759257555, -1.4414472579956055, 0.4959341287612915, -7.890490531921387, -1.6507066488265991, -1.7721973657608032, -2.1960043907165527, -1.8431776762008667, -3.369588613510132, -4.043682098388672, -0.5889649391174316]","[3.4100327491760254, 0.271090030670166, 0.5255835652351379, 1.2525379657745361, 0.09232427179813385, -2.574289083480835, 0.2622997462749481, 0.08914251625537872, 0.7739035487174988, -0.2955101430416107]"
63,65,8,"[2.8005733489990234, -0.8979217410087585, 0.4096348285675049, -1.1141793727874756, -0.4593459665775299, 0.08393201231956482, -0.229295015335083, 0.9305484890937805, 0.31907832622528076, 0.4979041814804077, -2.103343963623047, 0.001731276512145996, -5.585393905639648, -2.782907485961914, -0.903391420841217, -2.45310640335083, -3.8179988861083984, -1.5535885095596313, -3.728134870529175, -0.3275243043899536]","[2.6477513313293457, -0.31936877965927124, 0.4024408161640167, -0.973650336265564, 0.3951663076877594, -0.020535729825496674, -0.2531024217605591, 0.8452664613723755, 0.3295390009880066, 0.9308699369430542]"
63,65,9,"[3.120966672897339, -0.9867915511131287, 1.6589183807373047, -0.7742533683776855, 0.4994586408138275, -3.593475103378296, -0.19930315017700195, 1.1271368265151978, 1.8918472528457642, -0.29126137495040894, -1.8469183444976807, 0.5464996099472046, -4.050426006317139, -2.190176010131836, -0.6624612808227539, -2.755026340484619, -2.9186997413635254, -0.8282850980758667, -1.914062261581421, -0.19055306911468506]","[3.418574094772339, 3.070878028869629, 1.6661972999572754, -0.7799656987190247, 0.010235995054244995, -3.6238937377929688, -0.20034724473953247, 0.9865439534187317, 1.7631410360336304, 0.7923747897148132]"
63,65,10,"[3.048266649246216, -0.881250262260437, 1.6990948915481567, -0.8194342255592346, 0.3914177715778351, -3.445591449737549, -0.11471599340438843, 0.5509936809539795, 0.8152827620506287, -0.8331526517868042, -1.936328649520874, 1.3371189832687378, -5.843606948852539, -1.3054200410842896, -1.22392737865448, -1.83069908618927, -2.755201816558838, -1.6503376960754395, -3.1848745346069336, -0.19891035556793213]","[3.0798888206481934, 0.2704133987426758, 1.697210669517517, -0.7844431400299072, 0.5227100253105164, -3.1507198810577393, -0.11630439013242722, 0.5521554946899414, 0.7774230241775513, -0.792987048625946]"
63,65,11,"[2.4534971714019775, -2.050967216491699, 2.6974246501922607, 0.36353200674057007, -0.635422945022583, 0.1898707002401352, -0.7960535287857056, -1.5948656797409058, 1.4985084533691406, -0.9615293741226196, 2.4022912979125977, -1.1378004550933838, -1.1852110624313354, 1.3997464179992676, -1.0514169931411743, -0.2848294973373413, -2.5736799240112305, 1.4673008918762207, -0.23174571990966797, -0.7290704250335693]","[-3.5854008197784424, -2.108504295349121, 2.8604071140289307, 6.529332637786865, -1.1788707971572876, -0.8630243539810181, -0.7648619413375854, -4.412261486053467, 0.7312653660774231, -1.0831259489059448]"
