init,targ,rollout_id,embedding,sampled_embedding
15,11,0,"[2.2272884845733643, -0.8154831528663635, -1.8949674367904663, -2.247183084487915, -0.27767714858055115, -1.8280212879180908, -0.36462855339050293, 0.5396782755851746, 1.078472375869751, 0.15853384137153625, 0.06093287467956543, -1.8218166828155518, -2.8470821380615234, -1.1698287725448608, -1.1546883583068848, -2.1201725006103516, -2.149181604385376, -2.5110669136047363, -2.173750162124634, -0.917730987071991]","[0.6652487516403198, -0.8470601439476013, -1.8735896348953247, -2.079090118408203, -0.6525935530662537, -1.8513307571411133, -0.2738643288612366, 0.4964858293533325, 1.1302465200424194, -0.1302025020122528]"
15,11,1,"[-0.5842127799987793, -0.3110860586166382, -0.7443094253540039, -2.4058964252471924, -0.6995508670806885, 1.7171664237976074, -0.7874646186828613, 1.3230174779891968, 0.3800694942474365, -1.772240400314331, -2.1703474521636963, -2.276318073272705, -3.794882297515869, -0.801128625869751, -1.939603567123413, -1.9318058490753174, -3.398521900177002, -2.4925522804260254, -3.5130529403686523, -1.4010047912597656]","[-0.3623717427253723, -0.205579936504364, -0.7569021582603455, -2.551501989364624, -0.5828328728675842, 1.3924133777618408, -0.7696106433868408, 1.4271271228790283, 0.40418684482574463, -1.642530083656311]"
15,11,2,"[-0.46165019273757935, -0.3242948353290558, -0.41472870111465454, -0.5462886691093445, -1.017982006072998, -0.20446880161762238, -0.4173429608345032, -0.8318970203399658, -1.1538678407669067, 0.0020699542947113514, -4.467738151550293, -1.1637439727783203, -3.1333184242248535, 0.2267167568206787, -0.4922904968261719, -1.125640869140625, -2.7742648124694824, 1.1515040397644043, -0.9579281806945801, -0.7956110239028931]","[-0.4601720869541168, -0.6278880834579468, -0.36356425285339355, -0.6844823956489563, 0.06280553340911865, 0.12651808559894562, -0.39381492137908936, 1.0074200630187988, -0.7456225156784058, -0.19514788687229156]"
15,11,3,"[2.2004575729370117, -0.04104983061552048, 1.7956088781356812, 0.43750596046447754, -0.4014832675457001, -0.402305006980896, -0.762783408164978, -1.7947442531585693, 0.23528270423412323, -2.8072052001953125, 3.100569725036621, -1.1907708644866943, -6.0561676025390625, -0.44425690174102783, -0.9288212656974792, -0.05778777599334717, -2.6788668632507324, 1.0232689380645752, 1.0346248149871826, -0.8748902082443237]","[6.659424304962158, -0.21053463220596313, 1.7937215566635132, 0.1230841875076294, 0.26231375336647034, -1.1011712551116943, -0.8280283212661743, 3.152385950088501, -2.4122138023376465, -2.491532802581787]"
15,11,4,"[1.4376567602157593, 1.0709521770477295, 2.1478683948516846, 1.0240484476089478, 0.45451995730400085, -0.3895587921142578, -1.283894658088684, -1.295316219329834, 0.38105154037475586, -1.343381643295288, 5.241342067718506, 1.3344210386276245, -8.514093399047852, 0.2681150436401367, -0.3675779104232788, -0.0500713586807251, -1.9008491039276123, 2.030027151107788, -0.8711743354797363, -0.5026099681854248]","[17.736398696899414, 0.19735026359558105, 2.1479454040527344, -0.9722442626953125, 0.8417803049087524, 0.3256648778915405, -1.093599796295166, 2.5492985248565674, 0.3328150808811188, -1.489033818244934]"
15,11,5,"[-1.4075816869735718, -0.9099177718162537, 1.2520395517349243, -1.2845242023468018, -1.5040122270584106, -0.5262395739555359, -0.7284090518951416, 1.4886943101882935, -0.35042935609817505, -0.17589932680130005, -1.6113736629486084, -2.7793896198272705, -2.36140775680542, -1.1418027877807617, -2.0557966232299805, -2.075611114501953, -3.420593500137329, -1.7117780447006226, -3.2693331241607666, -1.6663044691085815]","[-1.5101125240325928, -1.0337822437286377, 1.1309325695037842, -0.9996172785758972, -1.5068477392196655, -0.41841623187065125, -0.7368974685668945, 1.2795519828796387, -0.35629579424858093, -0.15209674835205078]"
15,11,6,"[-0.2953285574913025, 0.02743992954492569, -3.0421764850616455, 0.3123983144760132, -1.2495384216308594, 1.1265568733215332, 0.16604667901992798, 2.8761911392211914, -1.8841959238052368, -0.8310766816139221, -4.135451316833496, -2.6099133491516113, 1.1011180877685547, -1.9097156524658203, -1.692147135734558, -1.7007203102111816, -3.558462619781494, -0.6323508024215698, -1.0116599798202515, -1.5776398181915283]","[-0.26237693428993225, -0.0032412316650152206, -2.5786468982696533, 0.2963070571422577, -1.5623140335083008, 1.1840444803237915, 0.15844662487506866, 3.5789928436279297, -2.143080711364746, -0.8297457695007324]"
15,11,7,"[-1.0812138319015503, -0.10699900984764099, -1.7936981916427612, -1.157775640487671, -1.0802686214447021, -0.6377012133598328, -0.94370436668396, -0.2147410809993744, -1.2854363918304443, -0.2513836622238159, -2.0348167419433594, -1.4081956148147583, -1.2412471771240234, -0.5970668792724609, -1.024937629699707, -1.2826772928237915, -2.9504928588867188, 0.03954362869262695, -1.075033187866211, -0.9856317043304443]","[-0.8773859739303589, 0.13972654938697815, -2.069261312484741, -1.0064390897750854, -1.415262222290039, -0.9039657115936279, -0.9553259015083313, 0.653389573097229, -1.9860179424285889, -0.07589027285575867]"
15,11,8,"[-1.1190969944000244, -0.2875956892967224, -0.08510883152484894, -1.4908987283706665, -1.7388564348220825, -0.9287981986999512, 1.1578749418258667, -0.06495925039052963, 1.825923204421997, -0.8237597346305847, -2.7143352031707764, -2.0424039363861084, -3.458132028579712, -0.12098908424377441, -1.178856372833252, -2.0424678325653076, -3.951411724090576, 0.16446900367736816, -2.070319175720215, -1.3613406419754028]","[-1.1400586366653442, -0.5032593607902527, -0.11346063762903214, -3.4418482780456543, -2.226022243499756, -0.9101584553718567, 1.1322451829910278, 1.5085190534591675, 1.853135108947754, -0.8469430804252625]"
15,11,9,"[-1.5629950761795044, 0.4621985852718353, -0.8622708320617676, -0.8489586114883423, -1.111820936203003, 1.0233304500579834, -0.3924395442008972, 0.2983550429344177, -0.6535305380821228, -0.3046746551990509, -2.202026844024658, -1.4673720598220825, -3.6385905742645264, 0.6782245635986328, -0.6659711599349976, -2.3183674812316895, -3.742971420288086, -0.8895625472068787, -2.4585165977478027, -0.9082298278808594]","[-1.5808128118515015, 0.6182361841201782, -0.862554132938385, -1.143531084060669, -0.611839234828949, 1.0354723930358887, -0.356288343667984, -0.2014845311641693, -0.6373893022537231, -0.25490260124206543]"
